	GKZ	Gebietsname	Wahlberechtigte	Abgegebene	Ungültige	Gültige	ÖVP	SPÖ	FPÖ	GRÜNE	BZÖ	KPÖ	MATIN
1	40000	Land Oberösterreich	1046347	851676	19224	832452	292998	300790	101743	85232	21840	6793	23056
2	4A000	Wahlkreis Linz und Umgebung	238592	186607	3314	183293	45537	81037	21807	23213	4743	1797	5159
3	4A099	Wahlkarten Linz und Umgebung	0	10998	125	10873	3524	3540	872	2387	237	112	201
4	4B000	Wahlkreis Innviertel	158583	124078	3266	120812	51114	33427	18753	9476	3767	878	3397
5	4B099	Wahlkarten Innviertel	0	5323	106	5217	2065	1183	492	1173	119	48	137
6	4C000	Wahlkreis Hausruckviertel	255209	208877	4740	204137	72193	70751	28218	20046	5572	1544	5813
7	4C099	Wahlkarten Hausruckviertel	0	9181	146	9035	3368	2380	840	1986	179	85	197
8	4D000	Wahlkreis Traunviertel	190673	156722	3641	153081	50691	59723	17373	15366	4111	1318	4499
9	4D099	Wahlkarten Traunviertel	0	7332	119	7213	2562	2049	544	1666	179	59	154
10	4E000	Wahlkreis Mühlviertel	203290	175392	4263	171129	73463	55852	15592	17131	3647	1256	4188
11	4E099	Wahlkarten Mühlviertel	0	7552	83	7469	2889	2047	455	1703	145	55	175
12	40100	Stadt Linz	139974	98185	1684	96501	21451	44211	11383	13228	2483	1138	2607
13	40200	Stadt Steyr                         	28558	20994	362	20632	4098	10584	2598	2066	520	218	548
14	40300	Stadt Wels                          	40223	29278	432	28846	6693	12403	4338	3271	1067	242	832
15	40400	Bezirk Braunau am Inn                	71701	51724	1444	50280	20325	15513	6906	3707	1800	396	1633
16	40401	Altheim                       	3727	2789	53	2736	911	1016	462	162	73	24	88
17	40402	Aspach                        	1782	1388	54	1334	719	296	164	77	36	11	31
18	40403	Auerbach                      	395	315	10	305	186	36	47	18	2	5	11
19	40404	Braunau am Inn                	12230	8173	176	7997	1926	3264	1254	850	330	72	301
20	40405	Burgkirchen                   	1972	1426	35	1391	695	349	149	92	52	10	44
21	40406	Eggelsberg                    	1615	1086	37	1049	501	259	115	102	39	7	26
22	40407	Feldkirchen bei Mattighofen   	1421	1057	39	1018	514	200	179	41	45	8	31
23	40408	Franking                      	644	470	22	448	240	86	65	21	16	5	15
24	40409	Geretsberg                    	794	564	15	549	313	88	76	33	11	2	26
25	40410	Gilgenberg am Weilhart        	920	651	20	631	377	102	70	28	31	6	17
26	40411	Haigermoos                    	424	305	10	295	158	57	29	26	17	2	6
27	40412	Handenberg                    	991	703	16	687	382	123	93	36	29	7	17
28	40413	Helpfau-Uttendorf             	2321	1624	53	1571	616	495	251	73	70	13	53
29	40414	Hochburg-Ach                  	2207	1500	35	1465	793	295	133	133	37	20	54
30	40415	Höhnhart                      	1071	833	16	817	399	204	118	37	29	5	25
31	40416	Jeging	461	356	7	349	149	106	47	17	13	5	12
32	40417	Kirchberg bei Mattighofen     	814	635	13	622	324	102	105	47	19	6	19
33	40418	Lengau                        	3248	2457	85	2372	721	982	306	193	88	25	57
34	40419	Lochen                        	1825	1321	48	1273	634	273	160	92	51	5	58
35	40420	Maria Schmolln                	1059	814	23	791	442	184	83	38	18	3	23
36	40421	Mattighofen                   	3550	2483	70	2413	641	1073	310	201	99	22	67
37	40422	Mauerkirchen                  	1579	1104	26	1078	321	372	211	81	33	9	51
38	40423	Mining                        	901	683	22	661	302	176	79	60	29	4	11
39	40424	Moosbach                      	669	528	21	507	234	77	122	32	26	2	14
40	40425	Moosdorf                      	1118	791	21	770	262	322	77	60	19	7	23
41	40426	Munderfing                    	1973	1502	57	1445	601	493	155	100	39	9	48
42	40427	Neukirchen an der Enknach     	1613	1170	18	1152	518	283	182	74	52	8	35
43	40428	Ostermiething                 	2212	1518	53	1465	702	373	152	120	57	9	52
44	40429	Palting                       	673	482	14	468	253	97	51	33	14	3	17
45	40430	Perwang am Grabensee          	566	423	7	416	209	101	53	24	13	2	14
46	40431	Pfaffstätt                    	686	512	15	497	201	153	68	38	18	3	16
47	40432	Pischelsdorf am Engelbach     	1233	934	28	906	466	170	149	43	41	8	29
48	40433	Polling im Innkreis           	707	570	14	556	285	148	83	18	9	1	12
49	40434	Roßbach                       	732	566	24	542	238	162	84	24	18	5	11
50	40435	St.Georgen am Fillmannsbach   	300	218	13	205	85	28	72	6	13	0	1
51	40436	St.Johann am Walde            	1597	1230	34	1196	475	473	122	71	25	6	24
52	40437	St.Pantaleon                  	2262	1660	48	1612	530	648	167	149	49	16	53
53	40438	St.Peter am Hart              	1783	1274	31	1243	473	393	170	99	44	6	58
54	40439	St.Radegund                   	449	333	3	330	237	35	10	33	5	3	7
55	40440	St.Veit im Innkreis           	305	249	7	242	106	89	31	6	5	0	5
56	40441	Schalchen                     	2672	1932	60	1872	575	701	256	151	85	15	89
57	40442	Schwand im Innkreis           	664	514	11	503	306	91	40	35	15	0	16
58	40443	Tarsdorf                      	1482	1015	39	976	536	191	109	70	34	7	29
59	40444	Treubach                      	567	463	11	452	269	58	82	14	16	4	9
60	40445	Überackern                    	428	306	8	298	149	81	34	10	8	2	14
61	40446	Weng im Innkreis              	1059	797	22	775	351	208	131	39	28	4	14
62	40500	Bezirk Eferding                      	23728	19207	427	18780	6856	6705	2634	1582	394	124	485
63	40501	Alkoven                       	4060	3229	64	3165	884	1477	347	269	78	21	89
64	40502	Aschach an der Donau          	1651	1317	31	1286	335	485	231	170	14	8	43
65	40503	Eferding                      	2653	2046	56	1990	642	793	290	186	38	11	30
66	40504	Fraham                        	1599	1305	26	1279	406	537	182	103	18	6	27
67	40505	Haibach ob der Donau          	992	816	30	786	364	261	66	59	13	9	14
68	40506	Hartkirchen                   	3164	2615	62	2553	1013	785	405	198	57	16	79
69	40507	Hinzenbach                    	1461	1257	24	1233	480	440	162	88	30	6	27
70	40508	Prambachkirchen               	2145	1762	33	1729	812	461	223	132	34	13	54
71	40509	Pupping                       	1517	1200	19	1181	455	379	196	86	28	7	30
72	40510	St.Marienkirchen an d. Polsenz	1710	1398	36	1362	516	443	206	114	26	13	44
73	40511	Scharten                      	1572	1301	10	1291	418	453	228	123	37	5	27
74	40512	Stroheim                      	1204	961	36	925	531	191	98	54	21	9	21
75	40600	Bezirk Freistadt                     	49191	41437	1036	40401	17264	13789	3708	3566	822	314	938
76	40601	Freistadt                     	5620	4608	116	4492	1485	1681	501	563	113	38	111
77	40602	Grünbach                      	1380	1143	25	1118	498	304	156	95	27	9	29
78	40603	Gutau                         	2049	1690	32	1658	727	587	136	144	28	6	30
79	40604	Hagenberg im Mühlkreis        	1947	1604	39	1565	437	619	167	223	45	20	54
80	40605	Hirschbach im Mühlkreis       	887	774	22	752	376	199	53	85	17	4	18
81	40606	Kaltenberg                    	477	423	5	418	312	40	44	6	11	1	4
82	40607	Kefermarkt                    	1631	1387	37	1350	528	512	123	111	22	14	40
83	40608	Königswiesen                  	2427	1979	50	1929	1005	554	183	117	32	7	31
84	40609	Lasberg                       	2160	1803	39	1764	821	484	179	196	32	10	42
85	40610	Leopoldschlag                 	807	682	32	650	371	142	65	42	8	2	20
86	40611	Liebenau                      	1399	1179	19	1160	627	374	66	41	20	5	27
87	40612	Neumarkt im Mühlkreis         	2356	1973	41	1932	801	598	207	230	22	26	48
88	40613	Pierbach                      	751	606	12	594	317	171	48	25	13	4	16
89	40614	Pregarten                     	3727	3164	88	3076	1121	1255	290	264	68	22	56
90	40615	Rainbach im Mühlkreis         	2202	1858	67	1791	890	580	113	143	20	12	33
91	40616	Sandl                         	1111	929	23	906	318	426	46	58	19	10	29
92	40617	St.Leonhard bei Freistadt     	1140	960	26	934	468	311	56	51	19	7	22
93	40618	St.Oswald bei Freistadt       	2008	1700	34	1666	662	651	170	96	39	9	39
94	40619	Schönau im Mühlkreis          	1417	1231	21	1210	634	340	117	57	30	6	26
95	40620	Tragwein                      	2292	2045	34	2011	847	828	122	149	16	14	35
96	40621	Unterweißenbach               	1792	1501	55	1446	772	405	109	78	46	7	29
97	40622	Unterweitersdorf              	1393	1234	28	1206	416	487	102	137	24	6	34
98	40623	Waldburg                      	1046	881	22	859	379	260	96	79	14	7	24
99	40624	Wartberg ob der Aist          	2989	2539	78	2461	720	1096	246	244	60	33	62
100	40625	Weitersfelden                 	856	723	12	711	411	185	44	41	11	6	13
101	40626	Windhaag bei Freistadt        	1264	1077	36	1041	545	278	103	65	12	16	22
102	40627	Bad Zell                      	2063	1744	43	1701	776	422	166	226	54	13	44
103	40700	Bezirk Gmunden                       	75791	58878	1627	57251	17960	23009	6572	5692	1505	569	1944
104	40701	Altmünster                    	7435	5815	176	5639	2023	1977	572	650	180	43	194
105	40702	Bad Goisern                   	5739	4462	134	4328	866	2235	511	324	154	74	164
106	40703	Bad Ischl                     	10761	7695	199	7496	2277	2713	1019	891	247	106	243
