	GKZ	Gebietsname	Wahlberechtigte	Abgegebene	Ungültige	Gültige	ÖVP	SPÖ	FPÖ	NEOS	JETZT	GRÜNE	KPÖ	SLP	WANDL
1	40000	Oberösterreich	1104436	858039.0	12943	845096	310611	187173	147873	61853	12451	115983	4750	310	4092
2	40099	Wahlkarten Oberösterreich	0	1.0	1	0	0	0	0	0	0	0	0	0	0
3	4A000	Linz und Umgebung	245789	181540.0	2029	179511	49869	49991	27420	15369	3357	31023	1389	93	1000
4	49019	Wahlkarten Linz und Umgebung	0	1110.0	5	1105	252	169	93	171	31	377	6	0	6
5	4B000	Innviertel	167189	126764.0	1865	124899	54648	19734	27322	7663	1465	12882	605	26	554
6	49029	Wahlkarten Innviertel	0	379.0	3	376	75	49	37	69	10	124	4	0	8
7	4C000	Hausruckviertel	273379	213202.0	3510	209692	77480	43537	40697	15508	3044	27377	1009	58	982
8	49039	Wahlkarten Hausruckviertel	0	662.0	8	654	145	68	56	102	26	247	5	0	5
9	4D000	Traunviertel	197070	154052.0	2399	151653	53475	38208	25233	10620	2351	20074	856	65	771
10	49049	Wahlkarten Traunviertel	0	608.0	4	604	140	75	62	88	22	199	8	0	10
11	4E000	Mühlviertel	221009	182480.0	3139	179341	75139	35703	27201	12693	2234	24627	891	68	785
12	49059	Wahlkarten Mühlviertel	0	609.0	9	600	136	71	57	78	24	227	4	2	1
13	40100	Linz	138154	97157.0	957	96200	24043	27416	13464	8201	2066	19356	968	64	622
14	40101	Linz	138154	73739.0	800	72939	18256	21794	11252	5561	1682	13188	738	50	418
15	40199	Wahlkarten Linz	0	23418.0	157	23261	5787	5622	2212	2640	384	6168	230	14	204
16	40200	Steyr	27006	19588.0	243	19345	4573	6975	3300	1101	362	2770	155	9	100
17	40201	Steyr	27006	16521.0	226	16295	3774	6058	2959	835	309	2137	133	9	81
18	40299	Wahlkarten Steyr	0	3067.0	17	3050	799	917	341	266	53	633	22	0	19
19	40300	Wels	39157	27272.0	369	26903	7339	7651	5322	2020	412	3853	171	6	129
20	40301	Wels	39157	22631.0	342	22289	5923	6614	4636	1559	360	2929	156	5	107
21	40399	Wahlkarten Wels	0	4641.0	27	4614	1416	1037	686	461	52	924	15	1	22
22	40400	Braunau	76045	55816.0	865	54951	23970	9335	11462	3349	734	5529	289	17	266
23	40401	Altheim	3770	2356.0	42	2314	885	478	599	121	26	179	11	1	14
24	40402	Aspach	1998	1176.0	16	1160	594	140	293	43	14	69	5	0	2
25	40403	Auerbach	449	312.0	5	307	148	20	91	17	2	28	1	0	0
26	40404	Braunau am Inn	11603	6271.0	85	6186	1960	1555	1220	349	127	898	31	3	43
27	40405	Burgkirchen	2080	1326.0	21	1305	621	179	290	71	12	124	4	0	4
28	40406	Eggelsberg	1852	1095.0	19	1076	485	140	256	79	13	88	8	0	7
29	40407	Feldkirchen bei Mattighofen	1604	1074.0	15	1059	513	101	300	39	8	91	2	0	5
30	40408	Franking	780	440.0	7	433	212	40	88	29	8	50	4	0	2
31	40409	Geretsberg	873	550.0	6	544	289	51	120	39	4	35	3	0	3
32	40410	Gilgenberg am Weilhart	1041	658.0	6	652	345	56	161	42	2	42	1	0	3
33	40411	Haigermoos	486	327.0	5	322	174	36	60	14	6	30	2	0	0
34	40412	Handenberg	1024	691.0	14	677	369	62	135	38	8	54	6	0	5
35	40413	Helpfau-Uttendorf	2369	1411.0	22	1389	631	231	326	73	32	83	7	0	6
36	40414	Hochburg-Ach	2211	1329.0	21	1308	739	151	187	77	11	132	5	2	4
37	40415	Höhnhart	1113	645.0	11	634	302	109	164	16	4	37	2	0	0
38	40416	Jeging	511	357.0	13	344	180	47	80	17	3	14	2	0	1
39	40417	Kirchberg bei Mattighofen	932	618.0	11	607	338	48	136	39	9	35	1	0	1
40	40418	Lengau	3611	2243.0	64	2179	927	480	445	108	28	158	18	1	14
41	40419	Lochen	2183	1480.0	28	1452	725	145	331	94	17	120	10	0	10
42	40420	Maria Schmolln	1180	735.0	10	725	407	77	123	34	10	66	4	0	4
43	40421	Mattighofen	3753	2094.0	33	2061	699	544	451	116	32	201	11	2	5
44	40422	Mauerkirchen	1645	845.0	7	838	300	175	210	72	11	62	4	1	3
45	40423	Mining	982	616.0	4	612	290	96	109	35	5	74	1	0	2
46	40424	Moosbach	773	499.0	10	489	207	50	165	25	4	35	1	1	1
