GKZ	Gebietsname	Wahlberechtigte	Abgegebene	Ungültige	Gültige	ÖVP	SPÖ	FPÖ	GRÜNE	LIF	VGÖ	NEIN	CWG	KPÖ	ÖNP
G70101	Innsbruck	82607	60720	1295	59425	14394	16332	14473	7689	4913	95	717	387	192	233
G70201	Arzl im Pitztal	1788	1398	40	1358	610	379	210	106	34	1	12	5	0	1
G70202	Haiming	2520	2078	63	2015	669	634	446	142	82	6	15	18	0	3
G70203	Imst	5392	4060	127	3933	1344	993	905	384	216	9	26	38	10	8
G70204	Imsterberg	482	384	13	371	203	101	41	18	5	0	0	2	0	1
G70205	Jerzens	651	501	16	485	293	101	55	18	13	1	2	1	0	1
G70206	Karres	397	336	11	325	174	98	32	11	6	0	1	0	2	1
G70207	Karrösten	458	383	11	372	165	132	39	19	15	0	0	2	0	0
G70208	Längenfeld	2439	2051	106	1945	1335	292	150	101	35	0	8	19	1	4
G70209	Mieming	1622	1256	47	1209	555	175	277	98	72	2	7	15	2	6
G70210	Mils bei Imst	320	261	7	254	121	51	40	22	16	0	0	2	0	2
G70211	Mötz	736	560	11	549	203	114	136	51	34	0	3	3	1	4
G70212	Nassereith	1453	1110	55	1055	389	241	257	74	47	2	11	28	0	6
G70213	Obsteig	584	461	14	447	228	54	75	45	37	0	0	8	0	0
G70214	Ötz	1475	1109	38	1071	575	173	169	78	59	2	7	5	1	2
G70215	Rietz	1250	951	34	917	309	309	190	43	51	1	7	5	1	1
G70216	Roppen	1017	864	30	834	386	261	90	60	21	1	6	7	1	1
G70218	Sautens	867	658	19	639	280	101	133	33	77	2	6	7	0	0
G70219	Silz	1661	1288	66	1222	457	368	227	105	38	2	4	19	1	1
G70220	Sölden	2023	1615	41	1574	1066	139	193	99	55	0	11	8	0	3
G70217	St. Leonhard im Pitztal	986	731	33	698	532	48	64	24	13	0	10	6	0	1
G70221	Stams	856	693	19	674	293	128	170	48	16	1	7	5	2	4
G70222	Tarrenz	1584	1242	69	1173	360	311	350	71	48	1	12	18	2	0
G70223	Umhausen	1705	1379	50	1329	759	259	198	43	32	1	3	24	1	9
G70224	Wenns	1368	1103	47	1056	485	259	182	68	31	3	4	21	1	2
G70301	Absam	4363	3577	70	3507	1113	955	750	374	209	4	50	32	11	9
G70302	Aldrans	1335	972	15	957	349	137	217	150	83	0	8	8	2	3
G70303	Ampass	798	656	12	644	221	91	153	99	60	1	7	10	1	1
G70304	Axams	3493	2831	85	2746	773	741	660	336	168	5	39	16	2	6
G70305	Baumkirchen	723	573	18	555	201	163	108	47	20	1	2	10	0	3
G70306	Birgitz	794	654	20	634	233	99	167	75	46	0	5	8	0	1
G70307	Ellbögen	713	622	18	604	319	116	99	44	20	0	3	1	2	0
G70308	Flaurling	710	621	17	604	239	167	95	54	30	0	4	11	1	3
G70309	Fritzens	1353	1096	31	1065	327	292	281	86	60	0	8	10	1	0
G70310	Fulpmes	2281	1729	36	1693	589	318	492	164	86	3	23	12	1	5
G70311	Gnadenwald	380	321	12	309	171	31	54	26	22	0	4	0	0	1
G70312	Götzens	2383	1954	44	1910	591	471	473	199	134	1	27	7	3	4
G70313	Gries am Brenner	985	792	31	761	299	181	172	63	25	1	14	5	1	0
G70314	Gries im Sellrain	408	288	7	281	158	67	38	12	5	0	0	1	0	0
G70315	Grinzens	914	710	27	683	241	165	169	67	24	3	4	9	0	1
G70317	Gschnitz	339	266	8	258	138	49	47	13	6	0	3	0	1	1
G70354	Hall in Tirol	8141	6277	135	6142	1787	1628	1401	703	404	9	76	96	8	30
G70318	Hatting	635	512	6	506	198	138	77	50	33	0	1	5	2	2
G70319	Inzing	2075	1690	38	1652	594	390	312	201	113	1	15	12	7	7
G70320	Kematen in Tirol	1620	1218	17	1201	390	304	280	135	78	0	9	3	0	2
G70322	Kolsass	941	764	27	737	271	148	179	80	38	0	7	12	0	2
G70323	Kolsassberg	467	370	17	353	147	58	102	28	6	0	6	6	0	0
G70325	Lans	611	467	12	455	171	59	115	69	26	1	5	5	0	4
G70326	Leutasch	1354	1047	26	1021	509	102	254	79	52	2	13	7	3	0
G70327	Matrei am Brenner	758	628	9	619	205	224	100	55	23	1	5	6	0	0
G70328	Mieders	868	668	13	655	247	142	132	78	39	1	7	7	0	2
G70329	Mils	2606	2167	43	2124	703	394	499	275	176	0	26	40	2	9
G70330	Mühlbachl	898	743	16	727	279	242	115	33	25	1	7	21	1	3
G70331	Mutters	1359	1109	23	1086	439	165	235	120	80	4	20	23	0	0
G70332	Natters	1265	951	23	928	343	163	196	140	62	2	10	5	3	4
G70333	Navis	1306	1067	32	1035	546	196	180	50	33	2	9	12	3	4
G70334	Neustift im Stubaital	2694	1992	37	1955	940	269	468	144	78	2	30	18	2	4
G70335	Oberhofen im Inntal	974	835	32	803	265	261	157	65	33	0	6	13	3	0
G70336	Obernberg am Brenner	275	240	10	230	157	25	36	7	3	0	2	0	0	0
G70337	Oberperfuss	1691	1237	8	1229	556	261	184	129	73	2	12	5	1	6
G70338	Patsch	624	523	7	516	174	154	80	55	41	0	5	5	0	2
G70339	Pettnau	604	480	26	454	200	68	98	43	25	2	5	9	2	2
G70340	Pfaffenhofen	636	526	17	509	127	220	103	27	23	0	3	3	3	0
G70341	Pfons	802	674	13	661	302	146	95	63	18	4	7	24	0	2
G70342	Polling in Tirol	494	376	12	364	126	84	105	34	11	0	2	2	0	0
G70343	Ranggen	525	425	13	412	192	78	73	41	20	0	1	6	0	1
G70344	Reith bei Seefeld	675	506	9	497	171	75	171	48	24	1	1	4	1	1
G70345	Rinn	812	686	16	670	256	107	185	74	32	0	5	8	2	1
G70346	Rum	5869	4712	108	4604	1067	1507	1027	539	353	6	60	27	8	10
G70348	Scharnitz	871	629	17	612	206	160	157	55	18	2	7	4	3	0
G70349	Schmirn	632	562	9	553	379	88	43	22	12	0	3	3	2	1
G70350	Schönberg im Stubaital	615	497	11	486	206	107	83	53	24	0	6	3	3	1
G70351	Seefeld in Tirol	1830	1410	32	1378	567	151	382	141	103	1	24	8	0	1
G70352	Sellrain	992	762	22	740	313	236	122	33	22	0	9	0	3	2
G70353	Sistrans	1074	902	21	881	329	93	199	135	108	1	11	2	1	2
G70347	St. Sigmund im Sellrain	123	104	0	104	61	14	19	7	1	0	2	0	0	0
G70355	Steinach am Brenner	2280	1925	65	1860	655	454	447	193	81	2	16	7	2	3
G70356	Telfes im Stubai	907	647	7	640	236	117	155	72	23	5	11	19	2	0
G70357	Telfs	7012	5430	202	5228	1319	1582	1360	550	285	12	49	32	14	25
G70358	Thaur	2188	1741	32	1709	680	431	293	193	67	3	17	19	3	3
G70359	Trins	774	623	14	609	259	139	146	44	10	0	6	4	0	1
G70360	Tulfes	796	681	16	665	272	107	199	41	24	2	5	12	2	1
G70361	Unterperfuss	142	113	3	110	49	38	19	1	3	0	0	0	0	0
G70362	Vals	391	345	9	336	220	45	38	15	3	0	6	6	3	0
G70364	Völs	4853	4001	108	3893	1036	1031	866	531	305	8	57	28	11	20
G70365	Volders	2482	2038	80	1958	663	429	549	141	128	4	26	9	1	8
G70366	Wattenberg	434	391	10	381	165	32	143	30	7	2	1	1	0	0
G70367	Wattens	5101	4054	89	3965	1079	1071	1156	330	200	7	49	47	6	20
G70368	Wildermieming	486	416	9	407	172	96	61	52	21	1	1	2	0	1
G70369	Zirl	3857	3041	93	2948	727	820	712	378	220	2	48	26	10	5
G70401	Aurach bei Kitzbühel	842	554	9	545	256	124	114	30	16	0	4	1	0	0
G70402	Brixen im Thale	1735	1370	40	1330	563	374	223	94	56	1	12	2	3	2
G70403	Fieberbrunn	2962	2407	73	2334	749	780	480	170	103	5	37	3	2	5
G70404	Going am Wilden Kaiser	1049	795	26	769	250	152	233	83	33	3	11	1	2	1
G70405	Hochfilzen	815	648	18	630	163	323	81	32	20	0	6	4	0	1
G70406	Hopfgarten im Brixental	3794	3004	73	2931	1202	702	664	201	103	3	28	21	1	6
G70407	Itter	723	563	12	551	217	153	110	42	13	0	8	3	3	2
G70408	Jochberg	1139	892	32	860	269	257	238	52	29	2	8	2	0	3
G70409	Kirchberg in Tirol	3321	2533	88	2445	809	708	611	163	96	1	45	9	1	2
G70410	Kirchdorf in Tirol	2228	1745	43	1702	538	413	507	129	76	3	31	1	2	2
G70411	Kitzbühel	6391	4573	107	4466	1098	1163	1357	434	318	11	49	18	8	10
G70412	Kössen	2478	1959	62	1897	827	294	524	124	80	1	39	1	3	4
G70413	Oberndorf in Tirol	1288	1031	24	1007	317	300	235	78	50	0	22	4	1	0
G70414	Reith bei Kitzbühel	1027	756	19	737	270	153	191	57	48	0	8	4	4	2
G70418	Schwendt	464	352	6	346	180	73	56	20	12	0	1	1	1	2
G70415	St. Jakob in Haus	419	326	7	319	107	96	69	26	12	0	7	0	0	2
G70416	St. Johann in Tirol	5335	4133	141	3992	1062	1091	1082	429	219	6	82	11	4	6
G70417	St. Ulrich am Pillersee	899	711	25	686	332	128	119	68	23	1	8	2	1	4
G70419	Waidring	1233	1010	28	982	371	224	222	91	46	1	15	7	1	4
G70420	Westendorf	2366	1819	76	1743	669	431	418	117	74	3	25	3	1	2
G70501	Alpbach	1623	1388	32	1356	775	117	299	73	52	1	32	1	3	3
G70502	Angath	539	443	11	432	119	110	142	32	17	0	8	2	2	0
G70528	Angerberg	1035	850	22	828	287	172	220	76	50	1	14	2	2	4
G70503	Bad Häring	1606	1387	37	1350	315	571	257	122	61	3	16	3	0	2
G70504	Brandenberg	1086	939	21	918	419	253	165	45	20	0	7	6	3	0
G70505	Breitenbach am Inn	2002	1637	55	1582	684	348	338	130	54	3	16	5	3	1
G70506	Brixlegg	1923	1590	42	1548	467	402	434	145	54	1	16	22	6	1
G70508	Ebbs	3054	2638	87	2551	860	523	796	222	92	4	31	11	6	6
G70509	Ellmau	1562	1211	32	1179	388	212	416	76	61	0	18	2	1	5
G70510	Erl	887	730	20	710	394	139	111	42	10	1	3	6	0	4
G70511	Kirchbichl	3646	3080	124	2956	597	1153	747	261	125	1	55	2	4	11
G70512	Kramsach	2858	2374	89	2285	640	753	500	221	111	2	46	5	3	4
G70513	Kufstein	10025	8120	291	7829	1771	2124	2312	936	457	14	140	25	16	34
G70514	Kundl	2508	2017	55	1962	582	690	452	135	70	3	17	3	2	8
G70515	Langkampfen	2405	2106	86	2020	550	602	563	179	58	3	51	2	5	7
G70516	Mariastein	146	122	7	115	44	25	25	8	6	1	5	1	0	0
G70517	Münster	1747	1474	72	1402	417	483	313	105	58	3	14	3	1	5
G70518	Niederndorf	1537	1280	46	1234	607	140	344	97	28	0	10	4	1	3
G70519	Niederndorferberg	416	314	5	309	140	24	93	25	6	1	11	7	1	1
G70520	Radfeld	1144	952	33	919	278	241	253	82	44	2	14	3	1	1
G70521	Rattenberg	373	288	6	282	88	67	84	22	17	1	1	0	2	0
G70522	Reith im Alpbachtal	1747	1413	42	1371	597	260	358	78	44	4	17	8	4	1
G70523	Rettenschöss	288	225	3	222	142	19	47	5	4	0	4	1	0	0
G70524	Scheffau am Wilden Kaiser	747	610	24	586	267	69	154	47	21	0	13	13	0	2
G70525	Schwoich	1432	1188	27	1161	474	257	264	93	44	4	15	3	1	6
G70526	Söll	2114	1705	38	1667	684	351	393	136	57	1	27	16	0	2
G70527	Thiersee	1801	1539	39	1500	756	270	289	98	53	2	20	5	4	3
G70529	Walchsee	1033	835	20	815	363	101	239	67	30	0	8	3	3	1
G70530	Wildschönau	2650	2081	62	2019	1218	175	454	107	32	4	14	7	3	5
G70531	Wörgl	7110	5932	254	5678	1174	2034	1457	604	273	12	87	13	10	14
G70601	Faggen	185	157	5	152	90	31	25	2	1	0	1	2	0	0
G70602	Fendels	155	138	6	132	102	18	9	2	1	0	0	0	0	0
G70603	Fiss	527	423	12	411	309	37	36	11	13	0	2	3	0	0
G70604	Fließ	1914	1512	52	1460	789	403	154	52	27	1	11	16	4	3
G70605	Flirsch	644	518	15	503	218	162	63	26	24	1	0	6	2	1
G70606	Galtür	524	402	7	395	275	32	55	13	6	1	6	7	0	0
G70607	Grins	842	686	18	668	310	229	73	32	18	1	0	3	2	0
G70608	Ischgl	905	681	12	669	397	100	133	15	14	1	2	4	0	3
G70609	Kappl	1746	1497	30	1467	1035	177	154	55	25	0	7	8	2	4
G70610	Kaunerberg	229	169	6	163	119	16	13	5	3	0	2	3	2	0
G70611	Kaunertal	407	372	12	360	244	63	29	18	6	0	0	0	0	0
G70612	Kauns	302	246	11	235	136	49	24	12	5	0	1	8	0	0
G70613	Ladis	317	258	8	250	137	48	41	16	5	0	2	1	0	0
G70614	Landeck	5291	4288	106	4182	1306	1744	607	295	149	6	23	43	6	3
G70615	Nauders	997	820	28	792	405	154	150	35	20	0	13	13	2	0
G70616	Pettneu am Arlberg	959	716	14	702	329	207	75	57	23	0	4	5	1	1
G70617	Pfunds	1643	1379	52	1327	581	413	212	74	24	3	8	5	4	3
G70618	Pians	582	470	4	466	224	152	58	19	8	0	2	3	0	0
G70619	Prutz	1040	913	36	877	326	248	163	85	29	0	15	8	1	2
G70620	Ried im Oberinntal	698	580	7	573	278	130	84	49	21	0	4	7	0	0
G70622	Schönwies	1059	953	34	919	294	428	101	60	29	0	3	4	0	0
G70623	See	664	538	17	521	348	69	67	8	3	1	9	14	1	1
G70624	Serfaus	757	588	26	562	353	87	59	32	23	1	1	5	0	1
G70625	Spiss	91	79	5	74	51	13	6	2	1	0	0	0	0	1
G70621	St. Anton am Arlberg	1744	1279	27	1252	658	165	195	111	85	1	15	22	0	0
G70626	Stanz bei Landeck	371	302	7	295	139	94	25	15	6	0	2	12	2	0
G70627	Strengen	846	704	17	687	345	224	64	30	11	2	6	2	1	2
G70628	Tobadill	344	281	10	271	174	58	20	7	7	1	0	4	0	0
G70629	Tösens	456	376	9	367	175	88	60	17	10	1	2	11	0	3
G70630	Zams	2393	2065	29	2036	1149	501	170	112	57	3	23	13	5	3
G70701	Abfaltersbach	451	374	5	369	254	17	40	37	3	0	3	13	1	1
G70702	Ainet	708	522	12	510	248	77	99	42	20	0	5	17	0	2
G70703	Amlach	204	152	7	145	62	19	38	16	5	0	1	3	1	0
G70704	Anras	955	780	19	761	500	107	94	38	14	1	5	0	1	1
G70705	Assling	1546	1263	29	1234	783	117	173	113	20	3	10	12	1	2
G70706	Außervillgraten	767	628	2	626	462	45	63	36	7	0	4	7	2	0
G70707	Dölsach	1524	1140	29	1111	424	309	234	79	42	2	10	6	1	4
G70708	Gaimberg	549	397	8	389	214	46	61	37	20	1	7	0	1	2
G70735	Heinfels	665	532	23	509	325	63	67	39	7	0	1	7	0	0
G70709	Hopfgarten in Defereggen	660	496	16	480	368	39	36	20	10	0	3	4	0	0
G70710	Innervillgraten	733	604	13	591	508	18	31	22	4	1	3	3	1	0
G70711	Iselsberg-Stronach	399	274	7	267	110	62	64	15	11	0	2	2	1	0
G70712	Kals am Großglockner	966	644	26	618	372	73	102	29	17	1	10	14	0	0
G70713	Kartitsch	710	576	18	558	409	33	55	46	7	0	3	4	1	0
G70714	Lavant	170	144	2	142	74	21	36	9	2	0	0	0	0	0
G70715	Leisach	596	476	21	455	223	70	85	52	21	2	2	0	0	0
G70716	Lienz	9401	7229	211	7018	2598	1814	1459	680	359	7	58	24	9	10
G70717	Matrei in Osttirol	3387	2580	92	2488	1357	395	451	141	90	4	14	28	4	4
G70718	Nikolsdorf	678	527	16	511	287	79	94	26	21	0	2	2	0	0
G70719	Nußdorf-Debant	2047	1624	55	1569	549	438	353	121	77	1	16	8	2	4
G70720	Oberlienz	1013	700	11	689	382	88	142	47	23	1	2	3	1	0
G70721	Obertilliach	594	452	19	433	300	32	62	26	4	0	2	6	0	1
