GKZ	Gebietsname	Wahlberechtigte	Abgegebene	Ungültige	Gültige	ÖVP	SPÖ	FPÖ	GRÜNE	LIF	KPÖ	NEIN
G70101	Innsbruck	81615	66369	1837	64532	14752	20889	16667	5207	5751	250	1016
G70201	Arzl im Pitztal	1819	1586	47	1539	558	440	356	80	82	1	22
G70202	Haiming	2522	2181	75	2106	582	653	615	105	113	6	32
G70203	Imst	5478	4647	153	4494	1278	1271	1248	319	304	6	68
G70204	Imsterberg	482	414	10	404	179	120	78	14	12	0	1
G70205	Jerzens	642	528	17	511	254	113	104	17	11	4	8
G70206	Karres	399	339	14	325	122	107	68	9	11	1	7
G70207	Karrösten	466	414	14	400	146	156	61	21	12	0	4
G70208	Längenfeld	2467	2210	121	2089	1208	407	303	74	61	1	35
G70209	Mieming	1661	1368	35	1333	494	236	419	72	87	2	23
G70210	Mils bei Imst	322	283	5	278	118	73	57	9	15	0	6
G70211	Mötz	740	635	14	621	166	168	198	44	37	1	7
G70212	Nassereith	1459	1188	42	1146	369	309	340	51	57	4	16
G70213	Obsteig	585	487	13	474	196	89	111	32	36	0	10
G70214	Ötz	1478	1297	34	1263	511	301	310	59	70	1	11
G70215	Rietz	1282	1096	40	1056	297	364	298	35	46	2	14
G70216	Roppen	1061	919	40	879	344	303	135	47	30	1	19
G70218	Sautens	865	756	26	730	236	153	213	30	82	3	13
G70219	Silz	1642	1402	46	1356	425	430	324	73	76	5	23
G70220	Sölden	2043	1748	60	1688	970	213	320	87	69	0	29
G70217	St. Leonhard im Pitztal	1005	825	34	791	425	145	151	21	15	0	34
G70221	Stams	872	738	24	714	260	151	197	51	38	3	14
G70222	Tarrenz	1593	1340	58	1282	305	377	452	59	54	5	30
G70223	Umhausen	1748	1531	47	1484	659	356	343	45	47	3	31
G70224	Wenns	1373	1184	63	1121	415	298	281	59	51	4	13
G70301	Absam	4378	3860	84	3776	981	1188	1002	253	283	10	59
G70302	Aldrans	1361	1140	20	1120	406	225	284	89	99	4	13
G70303	Ampass	803	683	10	673	238	131	172	66	61	2	3
G70304	Axams	3544	3102	82	3020	776	939	806	219	229	3	48
G70305	Baumkirchen	711	604	20	584	167	164	160	37	43	0	13
G70306	Birgitz	817	734	33	701	251	157	191	44	45	3	10
G70307	Ellbögen	719	664	14	650	280	159	134	39	28	1	9
G70308	Flaurling	731	655	25	630	237	199	131	35	22	1	5
G70309	Fritzens	1340	1215	34	1181	308	377	336	62	80	1	17
G70310	Fulpmes	2289	1984	48	1936	582	406	656	137	100	1	54
G70311	Gnadenwald	385	352	11	341	164	43	83	23	26	0	2
G70312	Götzens	2394	2069	50	2019	573	583	559	117	152	1	34
G70313	Gries am Brenner	979	881	22	859	260	256	245	54	28	1	15
G70314	Gries im Sellrain	418	352	20	332	160	88	64	11	9	0	0
G70315	Grinzens	904	782	28	754	201	254	202	43	40	0	14
G70317	Gschnitz	340	297	17	280	107	83	65	8	12	0	5
G70354	Hall in Tirol	8062	6809	208	6601	1831	2100	1628	423	487	19	113
G70318	Hatting	665	569	14	555	182	171	119	34	39	1	9
G70319	Inzing	2129	1878	50	1828	566	523	395	153	159	8	24
G70320	Kematen in Tirol	1682	1429	41	1388	399	387	351	116	115	2	18
G70322	Kolsass	972	849	44	805	265	192	224	51	56	1	16
G70323	Kolsassberg	478	405	8	397	145	75	135	9	26	0	7
G70325	Lans	616	527	6	521	221	85	130	39	39	3	4
G70326	Leutasch	1351	1112	51	1061	432	139	359	47	68	1	15
G70327	Matrei am Brenner	736	645	7	638	173	239	145	45	27	0	9
G70328	Mieders	883	779	17	762	225	171	240	61	52	0	13
G70329	Mils	2620	2340	56	2284	749	490	630	172	217	2	24
G70330	Mühlbachl	897	777	28	749	240	259	161	34	31	4	20
G70331	Mutters	1365	1232	30	1202	446	229	306	88	110	2	21
G70332	Natters	1261	1127	29	1098	378	209	263	98	121	4	25
G70333	Navis	1309	1131	36	1095	416	261	320	49	37	2	10
G70334	Neustift im Stubaital	2719	2323	56	2267	863	401	716	156	87	2	42
