GKZ	Gebietsname	Wahlberechtigte	Abgegebene	Ungültige	Gültige	ÖVP	SPÖ	FPÖ	LIF	GRUENE	KPÖ	CWG	NEIN	DU
G70101	Innsbruck	81813	57372	946	56426	12423	14662	15946	3566	8081	289	233	257	969
G70201	Arzl im Pitztal	1906	1459	17	1442	526	368	364	41	120	2	3	3	15
G70202	Haiming	2674	2005	34	1971	587	530	598	70	140	4	9	8	25
G70203	Imst	5835	4337	80	4257	1205	1125	1285	153	385	12	9	20	63
G70204	Imsterberg	493	398	6	392	195	100	68	5	12	0	0	1	11
G70205	Jerzens	653	475	5	470	242	84	121	5	11	1	1	1	4
G70206	Karres	410	324	8	316	123	92	68	7	10	0	2	3	11
G70207	Karrösten	491	376	5	371	152	120	68	4	14	2	2	1	8
G70208	Längenfeld	2612	1939	44	1895	1177	309	266	30	83	2	5	12	11
G70209	Mieming	1856	1345	28	1317	448	212	461	50	107	6	5	12	16
G70210	Mils bei Imst	353	262	4	258	112	50	69	5	22	0	0	0	0
G70211	Mötz	756	555	5	550	152	118	188	18	59	2	5	2	6
G70212	Nassereith	1473	964	16	948	311	191	316	38	57	4	10	5	16
G70213	Obsteig	643	498	9	489	191	79	128	22	54	2	7	0	6
G70214	Ötz	1524	1122	23	1099	515	169	278	43	70	4	5	2	13
G70215	Rietz	1397	1029	21	1008	294	322	289	26	50	6	2	6	13
G70216	Roppen	1089	849	10	839	345	223	167	14	79	3	2	3	3
G70218	Sautens	898	663	9	654	247	114	185	28	50	1	9	5	15
G70219	Silz	1743	1221	32	1189	395	308	311	25	112	1	14	8	15
G70220	Sölden	2079	1475	15	1460	928	125	276	41	69	1	2	6	12
G70217	St. Leonhard im Pitztal	1022	747	7	740	430	115	146	4	32	0	0	9	4
G70221	Stams	890	650	14	636	216	133	197	19	62	0	0	5	4
G70222	Tarrenz	1670	1061	14	1047	294	254	383	24	67	2	6	5	12
G70223	Umhausen	1854	1405	24	1381	775	201	292	25	48	2	18	2	18
G70224	Wenns	1394	1017	24	993	400	193	297	28	52	3	12	3	5
G70301	Absam	4677	3678	57	3621	917	1002	1008	187	388	11	19	25	64
G70302	Aldrans	1386	1083	16	1067	380	172	274	68	151	3	0	3	16
G70303	Ampass	883	676	10	666	193	113	206	40	90	5	4	1	14
G70304	Axams	3750	2820	41	2779	739	725	821	116	301	6	14	17	40
G70305	Baumkirchen	768	625	10	615	192	157	175	25	52	1	4	3	6
G70306	Birgitz	861	667	16	651	218	114	189	30	79	1	0	3	17
G70307	Ellbögen	752	637	7	630	264	134	139	19	57	4	1	2	10
G70308	Flaurling	770	642	10	632	248	162	148	19	47	1	3	0	4
G70309	Fritzens	1435	1177	12	1165	357	275	359	44	86	8	7	5	24
