GKZ	Gebietsname	Wahlberechtigte	Abgegebene	Ungültige	Gültige	ÖVP	SPÖ	FPÖ	GRÜNE	KPÖ	LIF
G70101	Innsbruck	83320	62529	746	61783	24156	18048	6044	11837	448	1250
G70201	Arzl im Pitztal	1960	1618	23	1595	922	414	104	122	4	29
G70202	Haiming	2780	2222	34	2188	1095	599	250	210	10	24
G70203	Imst	6091	4738	78	4660	2060	1472	505	515	29	79
G70204	Imsterberg	511	443	6	437	278	127	12	13	3	4
G70205	Jerzens	656	517	5	512	370	88	33	20	0	1
G70206	Karres	431	338	11	327	179	112	13	19	2	2
G70207	Karrösten	505	397	6	391	191	154	26	17	1	2
G70208	Längenfeld	2736	2176	42	2134	1574	325	110	108	1	16
G70209	Mieming	2042	1624	16	1608	1002	238	155	177	6	30
G70210	Mils bei Imst	357	353	4	349	208	77	31	30	2	1
G70211	Mötz	815	654	12	642	331	162	48	86	2	13
G70212	Nassereith	1458	1104	31	1073	593	260	128	77	5	10
G70213	Obsteig	694	543	7	536	341	72	47	66	2	8
G70214	Ötz	1549	1241	23	1218	791	189	112	113	5	8
G70215	Rietz	1436	1142	13	1129	510	403	124	69	3	20
G70216	Roppen	1143	932	15	917	461	322	64	60	4	6
G70218	Sautens	909	719	14	705	420	146	68	60	4	7
G70219	Silz	1735	1363	19	1344	674	401	96	157	7	9
G70220	Sölden	2114	1700	14	1686	1364	117	96	89	4	16
G70217	St. Leonhard im Pitztal	1037	840	15	825	678	85	30	25	1	6
G70221	Stams	909	735	9	726	428	141	71	71	7	8
G70222	Tarrenz	1728	1368	26	1342	653	371	194	101	8	15
G70223	Umhausen	1927	1617	28	1589	1140	230	132	63	9	15
G70224	Wenns	1424	1115	18	1097	651	253	98	72	11	12
G70301	Absam	4798	3984	65	3919	1864	1069	376	527	29	54
G70302	Aldrans	1405	1183	19	1164	669	186	79	200	9	21
G70303	Ampass	924	751	11	740	377	110	104	130	4	15
G70304	Axams	3879	3091	29	3062	1377	911	310	392	10	62
G70305	Baumkirchen	770	648	12	636	336	167	59	61	3	10
G70306	Birgitz	886	723	14	709	390	140	84	83	3	9
G70307	Ellbögen	777	664	11	653	410	140	46	51	2	4
G70308	Flaurling	772	659	8	651	338	181	48	62	6	16
G70309	Fritzens	1525	1274	19	1255	600	354	141	128	7	25
G70310	Fulpmes	2514	1982	25	1957	1079	422	205	212	8	31
G70311	Gnadenwald	461	391	3	388	259	45	27	49	1	7
G70312	Götzens	2561	2055	16	2039	985	548	193	268	9	36
G70313	Gries am Brenner	936	780	12	768	405	191	88	71	8	5
G70314	Gries im Sellrain	423	347	6	341	216	82	20	20	1	2
G70315	Grinzens	956	753	20	733	380	196	57	87	2	11
G70317	Gschnitz	344	271	6	265	168	54	27	9	5	2
G70354	Hall in Tirol	8123	6426	72	6354	2653	1928	653	966	42	112
G70318	Hatting	760	636	7	629	307	181	47	70	6	18
G70319	Inzing	2338	1978	18	1960	977	483	159	303	11	27
G70320	Kematen in Tirol	1828	1484	29	1455	706	389	122	207	9	22
G70322	Kolsass	1050	848	17	831	421	218	81	92	5	14
G70323	Kolsassberg	515	413	7	406	267	77	42	14	1	5
G70325	Lans	631	526	6	520	306	82	37	79	1	15
G70326	Leutasch	1423	1057	8	1049	767	93	83	91	5	10
G70327	Matrei am Brenner	748	636	7	629	283	221	40	72	8	5
G70328	Mieders	1030	869	6	863	502	142	90	116	3	10
G70329	Mils	2813	2347	19	2328	1212	469	242	362	5	38
G70330	Mühlbachl	956	804	15	789	446	225	54	58	0	6
G70331	Mutters	1454	1192	20	1172	679	190	88	187	7	21
G70332	Natters	1338	1109	12	1097	627	194	61	188	5	22
G70333	Navis	1394	1192	12	1180	745	236	126	56	1	16
G70334	Neustift im Stubaital	2926	2333	28	2305	1468	350	287	156	6	38
G70335	Oberhofen im Inntal	1133	943	18	925	443	281	85	95	5	16
G70336	Obernberg am Brenner	271	238	3	235	187	22	15	10	1	0
G70337	Oberperfuss	1972	1647	16	1631	883	405	115	196	9	23
G70338	Patsch	640	527	4	523	274	137	38	65	4	5
G70339	Pettnau	681	532	15	517	291	80	51	85	4	6
G70340	Pfaffenhofen	741	599	6	593	218	234	54	77	3	7
G70341	Pfons	903	756	8	748	433	157	70	66	6	16
G70342	Polling in Tirol	539	409	1	408	201	114	62	28	1	2
G70343	Ranggen	611	515	3	512	303	101	41	58	6	3
G70344	Reith bei Seefeld	726	559	9	550	332	78	62	74	0	4
G70345	Rinn	998	836	17	819	479	145	86	97	1	11
G70346	Rum	6199	5141	75	5066	1860	1836	467	761	24	118
G70348	Scharnitz	858	645	8	637	340	163	73	50	7	4
G70349	Schmirn	649	573	6	567	417	99	25	17	2	7
G70350	Schönberg im Stubaital	652	570	8	562	311	129	38	74	3	7
G70351	Seefeld in Tirol	1892	1431	8	1423	930	192	129	157	5	10
G70352	Sellrain	1055	840	24	816	396	324	42	47	2	5
G70353	Sistrans	1299	1104	16	1088	628	149	81	213	7	10
G70347	St. Sigmund im Sellrain	135	110	3	107	72	10	14	8	0	3
G70355	Steinach am Brenner	2409	1873	17	1856	978	481	168	193	6	30
G70356	Telfes im Stubai	968	774	6	768	468	142	66	73	4	15
G70357	Telfs	8480	6662	127	6535	2534	2166	745	920	45	125
G70358	Thaur	2473	2095	23	2072	1040	569	151	269	7	36
G70359	Trins	861	719	5	714	422	148	65	61	7	11
G70360	Tulfes	984	794	12	782	462	120	104	78	5	13
G70361	Unterperfuss	155	117	3	114	75	25	8	3	1	2
G70362	Vals	380	339	6	333	242	64	13	9	1	4
G70364	Völs	5020	4068	53	4015	1756	1195	343	610	18	93
G70365	Volders	2908	2362	40	2322	1246	531	265	226	11	43
G70366	Wattenberg	508	459	9	450	306	37	70	29	1	7
G70367	Wattens	5289	4377	62	4315	2029	1238	502	421	28	97
G70368	Wildermieming	544	476	11	465	271	118	31	39	2	4
G70369	Zirl	4427	3662	51	3611	1535	1023	372	585	26	70
G70401	Aurach bei Kitzbühel	890	664	16	648	383	146	65	39	3	12
G70402	Brixen im Thale	1844	1554	24	1530	855	444	113	107	2	9
G70403	Fieberbrunn	3056	2516	36	2480	1260	790	196	206	8	20
G70404	Going am Wilden Kaiser	1127	869	19	850	480	151	121	70	7	21
G70405	Hochfilzen	828	706	9	697	306	298	46	43	3	1
G70406	Hopfgarten im Brixental	3847	3193	62	3131	1817	623	409	235	16	31
G70407	Itter	806	654	10	644	344	162	80	44	5	9
G70408	Jochberg	1129	872	10	862	453	228	129	46	0	6
G70409	Kirchberg in Tirol	3455	2669	41	2628	1432	710	268	186	10	22
G70410	Kirchdorf in Tirol	2495	2000	26	1974	1123	420	270	126	10	25
G70411	Kitzbühel	6195	4493	60	4433	2218	1126	601	415	13	60
G70412	Kössen	2656	2076	29	2047	1390	247	249	131	7	23
G70413	Oberndorf in Tirol	1401	1154	15	1139	622	296	110	96	2	13
G70414	Reith bei Kitzbühel	1119	834	7	827	514	155	71	68	4	15
G70418	Schwendt	492	367	13	354	237	63	33	18	3	0
G70415	St. Jakob in Haus	451	385	4	381	209	107	33	24	4	4
G70416	St. Johann in Tirol	5601	4421	72	4349	2182	1083	574	425	27	58
G70417	St. Ulrich am Pillersee	1018	860	12	848	575	136	67	64	2	4
G70419	Waidring	1326	1077	7	1070	624	211	130	91	3	11
G70420	Westendorf	2500	2061	26	2035	1211	449	205	139	8	23
G70501	Alpbach	1718	1392	15	1377	1044	105	138	68	7	15
G70502	Angath	597	483	6	477	214	143	77	35	3	5
G70528	Angerberg	1213	1010	23	987	563	209	108	86	5	16
G70503	Bad Häring	1681	1414	23	1391	549	541	127	139	12	23
G70504	Brandenberg	1124	944	14	930	521	250	102	43	1	13
G70505	Breitenbach am Inn	2198	1889	30	1859	1139	370	161	153	16	20
G70506	Brixlegg	1981	1592	24	1568	753	403	217	165	14	16
G70508	Ebbs	3378	2777	30	2747	1537	463	457	228	13	49
G70509	Ellmau	1681	1258	23	1235	723	168	228	85	15	16
G70510	Erl	892	713	8	705	525	94	46	35	3	2
G70511	Kirchbichl	3693	3021	58	2963	1062	1191	394	246	16	54
G70512	Kramsach	3196	2643	43	2600	1196	740	315	290	18	41
G70513	Kufstein	10426	8337	141	8196	3423	2205	1263	1068	72	165
G70514	Kundl	2637	2149	41	2108	1060	658	185	175	3	27
G70515	Langkampfen	2560	2108	41	2067	927	662	265	149	24	40
G70516	Mariastein	192	162	4	158	94	22	21	17	2	2
G70517	Münster	2006	1599	23	1576	747	511	168	110	4	36
G70518	Niederndorf	1681	1345	11	1334	823	146	250	90	8	17
G70519	Niederndorferberg	399	293	3	290	214	11	48	12	1	4
G70520	Radfeld	1385	1108	21	1087	495	307	154	105	11	15
G70521	Rattenberg	298	254	0	254	112	53	51	31	4	3
G70522	Reith im Alpbachtal	1804	1451	17	1434	913	212	168	100	16	25
G70523	Rettenschöss	311	242	0	242	201	22	12	5	1	1
G70524	Scheffau am Wilden Kaiser	852	679	15	664	444	76	79	46	4	15
G70525	Schwoich	1582	1318	15	1303	759	266	141	110	7	20
G70526	Söll	2291	1875	19	1856	1113	356	207	143	11	26
G70527	Thiersee	1866	1563	23	1540	956	260	168	136	9	11
G70529	Walchsee	1117	881	10	871	604	67	149	39	4	8
G70530	Wildschönau	2847	2232	17	2215	1613	199	234	131	12	26
G70531	Wörgl	7564	6021	117	5904	2151	2121	755	720	54	103
G70601	Faggen	197	174	3	171	120	26	11	14	0	0
G70602	Fendels	161	146	3	143	108	13	11	7	3	1
G70603	Fiss	596	519	5	514	428	39	16	26	3	2
G70604	Fließ	2029	1715	41	1674	945	514	104	91	7	13
G70605	Flirsch	647	527	11	516	247	178	36	44	1	10
G70606	Galtür	533	435	4	431	382	16	21	12	0	0
G70607	Grins	945	792	9	783	427	255	29	57	2	13
G70608	Ischgl	1034	844	7	837	681	71	40	33	4	8
G70609	Kappl	1872	1630	17	1613	1318	158	77	42	8	10
G70610	Kaunerberg	258	197	2	195	151	26	8	10	0	0
G70611	Kaunertal	412	374	5	369	281	39	12	36	0	1
G70612	Kauns	322	255	10	245	165	45	10	20	3	2
G70613	Ladis	372	271	6	265	189	40	16	16	1	3
G70614	Landeck	5231	4303	70	4233	1756	1721	259	421	35	41
G70615	Nauders	1064	815	18	797	529	144	66	45	6	7
G70616	Pettneu am Arlberg	1027	835	17	818	398	267	52	84	2	15
G70617	Pfunds	1788	1464	38	1426	837	353	100	114	4	18
G70618	Pians	568	475	2	473	259	145	31	31	0	7
G70619	Prutz	1144	935	19	916	423	285	73	122	5	8
