GKZ	Gebietsname	Wahlberechtigte	Abgegebene	Ungültige	Gültige	ÖVP	SPÖ	FPÖ	GRÜNE	BZÖ	LIF	KPÖ	RETTÖ	DC	FRITZ	LINKE
G70101	Innsbruck	87834	53787	642	53145	10874	11071	9774	9463	3921	2157	419	294	328	4752	92
G70201	Arzl im Pitztal	2258	1544	21	1523	528	273	261	133	146	33	11	7	17	111	3
G70202	Haiming	3156	1958	25	1933	531	417	383	176	193	48	6	8	15	155	1
G70203	Imst	6808	4286	75	4211	1124	820	847	494	454	95	29	31	53	261	3
G70204	Imsterberg	592	410	5	405	192	74	58	6	28	2	3	5	7	30	0
G70205	Jerzens	737	467	9	458	225	56	79	13	49	6	0	1	0	29	0
G70206	Karres	486	289	5	284	114	59	58	10	18	5	1	2	0	17	0
G70207	Karrösten	561	400	10	390	123	103	91	20	25	4	1	3	1	19	0
G70208	Längenfeld	3152	1949	35	1914	1002	185	213	98	156	10	7	7	13	222	1
G70209	Mieming	2405	1563	42	1521	507	190	260	195	131	43	4	17	19	155	0
G70210	Mils bei Imst	427	292	6	286	105	55	38	27	24	6	0	2	6	22	1
G70211	Mötz	890	550	7	543	162	91	123	56	43	16	0	5	8	39	0
G70212	Nassereith	1601	932	22	910	255	152	169	62	116	20	7	9	27	93	0
G70213	Obsteig	844	561	8	553	205	47	93	73	65	18	2	6	5	39	0
G70214	Ötz	1700	1102	24	1078	460	131	133	88	107	23	6	3	10	116	1
G70215	Rietz	1651	956	11	945	230	228	197	61	100	18	7	12	7	85	0
G70216	Roppen	1283	860	13	847	328	254	122	42	29	11	1	4	11	45	0
G70218	Sautens	1005	656	10	646	227	104	117	47	67	5	3	0	5	71	0
G70219	Silz	1922	1266	25	1241	342	301	168	126	89	32	5	7	26	144	1
G70220	Sölden	2267	1248	24	1224	639	60	157	57	151	9	3	7	8	133	0
G70217	St. Leonhard im Pitztal	1154	635	17	618	298	48	107	16	97	3	1	1	5	42	0
G70221	Stams	1025	648	14	634	203	106	100	68	60	16	5	4	8	63	1
G70222	Tarrenz	1998	1241	19	1222	345	190	287	118	123	11	7	14	26	98	3
G70223	Umhausen	2214	1404	17	1387	655	147	198	62	144	16	4	17	30	114	0
G70224	Wenns	1574	906	14	892	400	132	133	60	62	5	4	3	10	82	1
G70301	Absam	5354	3664	70	3594	901	746	637	536	285	107	24	21	27	308	2
G70302	Aldrans	1563	1065	5	1060	373	116	155	185	86	33	7	3	1	99	2
G70303	Ampass	1154	778	5	773	205	107	146	104	89	30	7	6	5	74	0
G70304	Axams	4342	2884	35	2849	780	556	486	355	288	69	19	22	19	254	1
G70305	Baumkirchen	911	639	11	628	186	121	111	52	78	17	4	2	6	51	0
