GKZ	Gebietsname	Wahlberechtigte	Abgegebene	Ungültige	Gültige	ÖVP	SPÖ	FPÖ	GRÜNE	NEOS	FLÖ	GILT	KPÖ	PILZ	WEIßE
G70101	Innsbruck	88754	55280	435	54845	14404	15589	12682	3839	3894	96	480	628	3115	118
G70201	Arzl im Pitztal	2380	1582	14	1568	629	294	434	29	88	6	17	9	58	4
G70202	Haiming	3448	2261	14	2247	750	510	683	84	118	4	16	11	63	8
G70203	Imst	7390	4778	48	4730	1600	1037	1381	166	296	5	36	32	167	10
G70204	Imsterberg	628	448	7	441	200	71	122	8	22	0	4	0	13	1
G70205	Jerzens	702	483	5	478	220	53	174	2	14	0	0	3	11	1
G70206	Karres	493	328	5	323	137	43	117	2	16	0	1	1	5	1
G70207	Karrösten	566	379	7	372	136	104	93	3	22	0	0	1	12	1
G70208	Längenfeld	3391	2293	22	2271	1304	190	532	43	115	5	12	1	65	4
G70209	Mieming	2737	1793	23	1770	734	283	458	83	130	4	14	4	55	5
G70210	Mils bei Imst	455	349	3	346	134	64	85	7	49	1	1	0	5	0
G70211	Mötz	915	584	8	576	222	135	145	24	22	0	5	2	18	3
G70212	Nassereith	1617	1080	10	1070	441	175	325	21	53	1	12	4	32	6
G70213	Obsteig	927	620	8	612	225	94	168	36	55	1	7	2	22	2
G70214	Oetz	1756	1206	8	1198	590	180	251	24	76	3	6	13	52	3
G70215	Rietz	1803	1198	9	1189	355	289	394	29	53	7	15	8	34	5
G70216	Roppen	1338	958	9	949	380	257	230	13	43	0	7	1	15	3
G70218	Sautens	1105	710	4	706	317	95	206	16	27	2	8	3	28	4
G70219	Silz	1956	1337	6	1331	457	318	352	56	77	2	15	8	45	1
G70220	Sölden	2194	1456	13	1443	856	78	355	24	79	4	10	3	34	0
G70217	St. Leonhard im Pitztal	1094	712	9	703	416	53	200	4	23	1	0	0	6	0
G70221	Stams	1091	694	7	687	273	126	191	28	38	2	3	5	16	5
G70222	Tarrenz	2099	1380	18	1362	470	229	496	43	66	3	15	9	30	1
G70223	Umhausen	2363	1637	13	1624	787	174	525	29	55	2	12	3	33	4
G70224	Wenns	1602	999	23	976	459	131	304	20	34	3	4	5	16	0
G70301	Absam	5595	3968	33	3935	1387	982	892	184	245	2	33	22	178	10
G70302	Aldrans	1913	1350	8	1342	523	263	262	92	112	0	9	9	70	2
G70303	Ampass	1297	890	4	886	320	161	234	41	58	0	17	3	51	1
G70304	Axams	4583	3125	21	3104	1007	759	850	153	167	4	18	19	120	7
G70305	Baumkirchen	961	680	5	675	266	147	167	19	45	1	4	2	20	4
G70306	Birgitz	1099	739	10	729	279	148	176	34	48	0	5	7	29	3
G70307	Ellbögen	895	696	4	692	314	110	199	22	20	1	1	1	22	2
G70308	Flaurling	965	691	10	681	254	165	160	19	36	0	4	2	38	3
G70309	Fritzens	1687	1196	15	1181	391	250	379	34	74	3	11	5	32	2
G70310	Fulpmes	3059	1934	15	1919	660	425	552	66	124	4	9	6	69	4
G70311	Gnadenwald	608	450	3	447	199	60	103	13	42	0	4	3	21	2
G70312	Götzens	3075	1997	10	1987	661	428	590	91	110	3	9	10	81	4
G70313	Gries am Brenner	1001	722	6	716	272	121	250	20	25	2	2	3	20	1
G70314	Gries im Sellrain	475	325	3	322	145	79	72	6	9	0	2	3	5	1
G70315	Grinzens	1079	709	1	708	246	172	207	12	43	1	2	1	21	3
G70317	Gschnitz	342	245	3	242	119	29	72	5	13	0	1	1	2	0
G70354	Hall in Tirol	9479	6059	54	6005	1689	1694	1466	328	414	10	53	48	291	12
G70318	Hatting	1071	722	1	721	259	156	201	28	42	0	5	5	20	5
G70319	Inzing	2919	2048	16	2032	732	516	431	103	121	2	24	16	81	6
G70320	Kematen in Tirol	2178	1528	9	1519	528	318	388	76	109	0	20	4	72	4
G70322	Kolsass	1271	924	4	920	331	183	240	33	76	1	14	4	36	2
G70323	Kolsassberg	627	441	2	439	200	67	132	12	15	1	0	4	7	1
G70325	Lans	844	558	3	555	201	77	131	38	55	1	7	2	43	0
G70326	Leutasch	1586	996	4	992	503	140	234	22	49	3	9	2	29	1
G70327	Matrei am Brenner	740	532	8	524	177	158	129	13	22	0	1	1	20	3
G70328	Mieders	1333	890	14	876	311	180	248	35	61	4	9	5	22	1
G70329	Mils	3374	2424	12	2412	902	509	568	108	178	2	17	10	115	3
G70330	Mühlbachl	1048	686	18	668	291	156	168	11	20	1	3	0	17	1
G70331	Mutters	1610	1141	8	1133	479	195	248	67	77	0	5	5	55	2
G70332	Natters	1528	1034	5	1029	415	182	233	57	76	2	5	5	51	3
G70333	Navis	1613	1154	9	1145	536	179	357	6	35	1	1	3	22	5
G70334	Neustift im Stubaital	3456	2415	19	2396	1005	326	774	69	131	2	10	12	63	4
G70335	Oberhofen im Inntal	1366	912	7	905	247	231	273	37	60	4	11	5	36	1
G70336	Obernberg am Brenner	278	221	4	217	117	27	58	3	6	1	1	3	1	0
G70337	Oberperfuss	2367	1693	8	1685	667	377	381	76	97	1	10	6	68	2
G70338	Patsch	780	531	6	525	207	106	107	27	28	0	6	3	40	1
G70339	Pettnau	816	542	5	537	216	94	144	21	27	0	6	3	24	2
G70340	Pfaffenhofen	791	529	3	526	156	140	148	27	29	4	6	2	13	1
G70341	Pfons	997	754	8	746	303	167	202	15	28	1	2	2	24	2
