WSP ;Wahlberechtigte_männlich;Wahlberechtigte_weiblich;Wahlberechtigte_insgesamt;gültig;ungültig;SPÖ;ÖVP;GRÜNE;FPÖ;BZÖ;KLEM;LIF;RETTÖ;KPÖ;DC;STARK;FRITZ
111;137;93;230;130;2;17;35;23;16;32;1;3;1;1;1;0;0
211;258;260;518;315;6;40;89;61;23;82;0;8;1;3;3;2;3
311;257;270;527;310;5;41;52;47;15;126;0;19;0;6;0;0;4
411;253;263;516;265;2;36;79;35;12;86;0;6;4;2;1;0;4
511;243;327;570;374;8;94;47;30;30;151;1;6;4;4;2;2;3
512;181;230;411;270;10;40;31;39;20;118;1;11;1;4;2;0;3
513;131;168;299;193;3;33;48;29;12;57;0;10;1;0;1;0;2
514;210;275;485;310;4;63;43;39;23;119;1;10;1;3;2;1;5
521;145;235;380;246;4;41;61;44;13;72;0;2;0;1;6;1;5
531;16;43;59;65;8;29;11;5;4;13;0;2;0;0;1;0;0
611;155;201;356;245;7;67;43;23;20;83;0;5;0;2;0;0;2
612;179;219;398;239;5;60;7;20;23;120;0;2;2;2;0;2;1
613;318;402;720;471;14;108;58;37;35;212;1;6;1;4;3;1;5
621;104;160;264;149;1;26;28;26;11;51;1;2;0;0;4;0;0
622;258;356;614;408;14;129;35;57;29;139;2;1;3;5;1;1;6
623;119;148;267;164;4;39;22;14;11;71;0;1;3;0;0;0;3
624;154;190;344;230;7;88;22;16;15;78;0;3;2;1;0;1;4
625;150;198;348;247;1;51;30;45;15;85;0;7;3;6;0;1;4
711;123;164;287;193;3;36;28;58;7;53;0;7;1;3;0;0;0
712;190;179;369;235;0;79;17;17;24;85;0;7;0;4;0;0;2
713;202;235;437;274;7;61;34;33;24;105;0;4;3;2;6;0;2
714;108;128;236;138;4;34;12;15;17;53;0;3;1;1;0;0;2
715;123;157;280;154;5;40;15;9;17;71;1;0;0;0;1;0;0
716;151;210;361;254;4;53;40;30;19;90;0;8;4;2;5;3;0
717;135;279;414;254;5;83;21;28;21;85;0;9;0;2;0;1;4
811;109;148;257;177;1;32;30;30;16;58;0;6;2;0;1;2;
812;170;221;391;246;4;42;43;33;15;94;0;5;5;4;2;1;2
813;232;321;553;353;5;60;71;67;30;105;0;11;1;2;0;0;6
814;134;188;322;224;5;25;63;31;22;69;0;1;6;2;0;1;4
821;185;239;424;285;5;42;64;56;30;70;0;13;4;2;3;0;1
822;165;274;439;293;9;57;65;44;25;87;0;9;1;1;1;1;2
823;115;178;293;190;4;55;27;15;17;63;1;1;3;3;1;0;4
824;183;231;414;254;7;49;48;44;21;81;0;3;0;2;0;0;6
825;233;308;541;344;8;79;59;54;13;122;1;8;0;4;0;0;4
831;228;276;504;308;6;71;37;40;25;111;1;14;1;2;2;0;4
832;231;294;525;350;8;80;47;45;16;142;0;7;4;0;2;5;2
833;151;177;328;209;6;36;50;22;16;78;1;1;4;0;1;0;0
841;175;225;400;299;2;38;95;46;26;76;2;11;1;1;0;0;3
842;175;236;411;318;2;32;107;63;19;75;0;13;3;1;0;0;5
843;186;235;421;294;8;36;85;50;15;76;1;15;3;3;7;0;3
911;203;204;407;299;11;47;71;41;23;106;0;3;1;2;0;0;5
921;94;110;204;152;2;34;24;19;9;61;0;2;1;1;1;0;0
922;198;217;415;302;5;89;34;35;25;102;0;5;3;1;2;0;6
923;299;357;656;424;9;77;80;59;22;158;1;13;2;5;2;0;5
924;276;421;697;483;6;151;56;46;40;169;0;5;2;5;2;0;7
925;195;219;414;268;5;62;46;25;23;101;0;5;0;1;2;0;3
926;271;305;576;419;8;121;40;41;41;157;1;2;6;2;2;0;6
931;384;522;906;652;17;174;93;73;66;211;1;16;8;2;3;0;5
932;210;275;485;337;7;105;64;33;24;93;0;4;3;0;4;0;7
933;224;316;540;367;10;80;71;68;37;95;1;8;1;1;2;0;3
934;225;316;541;325;5;92;23;40;26;131;0;2;2;3;3;1;2
935;266;382;648;419;7;137;39;40;28;156;0;5;3;4;2;1;4
936;223;342;565;411;11;110;41;58;34;140;5;4;5;4;3;0;7
941;337;392;729;482;17;108;73;82;35;153;0;8;7;1;5;1;9
942;262;280;542;378;12;77;69;43;30;139;0;6;2;5;0;0;7
943;286;311;597;442;7;98;56;32;50;183;1;6;4;3;3;0;6
1011;267;298;565;371;5;83;27;14;38;190;0;2;3;4;4;0;6
1012;237;234;471;323;10;99;33;24;22;128;0;3;3;5;0;1;5
1020;229;314;543;385;10;80;24;35;34;189;0;5;3;2;3;2;8
1021;266;319;585;382;9;91;51;59;18;142;1;6;8;3;0;0;3
1022;303;336;639;431;12;114;64;50;17;173;0;3;1;3;2;0;4
1023;210;241;451;308;8;79;33;16;28;133;0;3;4;10;0;1;1
1024;240;244;484;321;10;96;32;26;25;127;0;4;1;0;3;0;7
1025;296;371;667;426;9;81;15;29;42;246;0;4;4;0;2;0;3
1026;309;400;709;524;8;135;31;43;49;242;1;5;3;5;1;3;6
1027;310;425;735;528;8;165;38;37;32;225;2;12;3;7;2;2;3
1028;251;347;598;416;8;119;28;35;46;172;1;1;5;3;3;0;3
1029;302;386;688;419;8;102;48;34;40;171;1;2;10;4;1;0;6
1031;338;463;801;506;7;104;51;32;42;254;0;6;8;3;2;2;2
1032;324;305;629;450;8;122;49;52;40;166;0;7;2;2;4;0;6
1041;317;326;643;394;3;105;17;13;28;220;0;1;2;1;2;2;3
1042;186;250;436;276;10;69;21;12;22;146;0;0;1;1;0;1;3
1043;132;189;321;215;4;85;15;15;21;77;0;0;0;0;0;1;1
1044;208;256;464;279;8;73;14;12;37;130;0;2;2;1;0;2;6
1051;260;292;552;359;10;91;40;31;27;157;0;7;2;1;3;0;
1061;234;235;469;339;7;86;33;25;34;146;0;3;1;7;4;0;0
1062;182;212;394;259;6;68;26;14;25;120;0;1;2;2;0;0;1
1063;290;384;674;446;5;148;29;29;26;197;3;5;3;3;0;3;
1064;152;183;335;229;1;60;35;18;23;83;0;3;1;3;0;0;3
1065;296;353;649;407;13;97;43;30;30;190;0;2;4;4;3;1;3
1066;154;163;317;214;4;62;26;10;10;97;0;2;4;0;0;0;3
1067;303;432;735;489;12;144;34;55;42;193;1;6;5;1;4;1;3
1111;169;189;358;256;5;86;24;24;18;92;0;4;4;1;1;0;2
