GKZ;Gebietsname;Wahlbe-rechtigte;Stimmen;Ungültige;Gültige;ÖVP;%;SPÖ;%;FPÖ;%;NEOS;%;JETZT;%;GRÜNE;%;KPÖ;%;WANDL;%;BZÖ;%;BIER;%;CPÖ;%;GILT;%;SLP;%
G00000;Österreich;6.396.812;4.835.469;58.223;4.777.246;1.789.417;37,46;1.011.868;21,18;772.666;16,17;387.124;8,10;89.169;1,87;664.055;13,90;32.736;0,69;22.168;0,46;760;0,02;4.946;0,10;260;0,01;1.767;0,04;310;0,01
G10000;Burgenland;233.182;189.911;2.850;187.061;71.566;38,26;54.965;29,38;32.448;17,35;9.130;4,88;2.351;1,26;15.113;8,08;739;0,40;489;0,26;;0,00;;0,00;260;0,14;;0,00;;0,00
G10099;Wahlkarten - Burgenland (ungültig nicht zuordenbar);0;1;1;0;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;;0,00;;0,00;0;0,00;;0,00;;0,00
G1A000;Burgenland Nord;123.715;100.813;1.539;99.274;37.009;37,28;28.872;29,08;16.466;16,59;5.590;5,63;1.396;1,41;9.084;9,15;411;0,41;292;0,29;;0,00;;0,00;154;0,16;;0,00;;0,00
G1A099;Wahlkarten - Burgenland Nord;0;359;1;358;86;24,02;58;16,20;57;15,92;44;12,29;14;3,91;87;24,30;7;1,96;4;1,12;;0,00;;0,00;1;0,28;;0,00;;0,00
G1B000;Burgenland Süd;109.467;89.097;1.310;87.787;34.557;39,36;26.093;29,72;15.982;18,21;3.540;4,03;955;1,09;6.029;6,87;328;0,37;197;0,22;;0,00;;0,00;106;0,12;;0,00;;0,00
G1B099;Wahlkarten - Burgenland Süd;0;359;5;354;86;24,29;56;15,82;59;16,67;39;11,02;12;3,39;98;27,68;1;0,28;2;0,56;;0,00;;0,00;1;0,28;;0,00;;0,00
G10100;Eisenstadt Stadt;10.798;8.574;89;8.485;3.523;41,52;1.685;19,86;1.162;13,69;654;7,71;142;1,67;1.220;14,38;39;0,46;39;0,46;;0,00;;0,00;21;0,25;;0,00;;0,00
G10101;Eisenstadt;10.798;7.192;78;7.114;2.966;41,69;1.450;20,38;1.023;14,38;535;7,52;120;1,69;944;13,27;28;0,39;27;0,38;;0,00;;0,00;21;0,30;;0,00;;0,00
G10199;Wahlkarten - Eisenstadt Stadt;0;1.382;11;1.371;557;40,63;235;17,14;139;10,14;119;8,68;22;1,60;276;20,13;11;0,80;12;0,88;;0,00;;0,00;0;0,00;;0,00;;0,00
G10200;Rust Stadt;1.594;1.276;21;1.255;424;33,78;389;31,00;239;19,04;69;5,50;15;1,20;106;8,45;5;0,40;5;0,40;;0,00;;0,00;3;0,24;;0,00;;0,00
G10201;Rust;1.594;1.055;18;1.037;355;34,23;315;30,38;209;20,15;52;5,01;12;1,16;82;7,91;5;0,48;4;0,39;;0,00;;0,00;3;0,29;;0,00;;0,00
G10299;Wahlkarten - Rust Stadt;0;221;3;218;69;31,65;74;33,94;30;13,76;17;7,80;3;1,38;24;11,01;0;0,00;1;0,46;;0,00;;0,00;0;0,00;;0,00;;0,00
G10300;Eisenstadt - Umgebung;34.307;28.264;448;27.816;10.317;37,09;8.572;30,82;4.327;15,56;1.482;5,33;410;1,47;2.478;8,91;114;0,41;82;0,29;;0,00;;0,00;34;0,12;;0,00;;0,00
G10301;Breitenbrunn am Neusiedler See;1.582;1.137;27;1.110;376;33,87;331;29,82;149;13,42;77;6,94;38;3,42;132;11,89;5;0,45;2;0,18;;0,00;;0,00;0;0,00;;0,00;;0,00
G10302;Donnerskirchen;1.535;1.076;17;1.059;470;44,38;242;22,85;200;18,89;60;5,67;13;1,23;67;6,33;6;0,57;1;0,09;;0,00;;0,00;0;0,00;;0,00;;0,00
G10303;Großhöflein;1.676;1.164;25;1.139;487;42,76;271;23,79;183;16,07;67;5,88;7;0,61;115;10,10;4;0,35;5;0,44;;0,00;;0,00;0;0,00;;0,00;;0,00
G10304;Hornstein;2.397;1.647;34;1.613;515;31,93;538;33,35;267;16,55;89;5,52;30;1,86;151;9,36;13;0,81;8;0,50;;0,00;;0,00;2;0,12;;0,00;;0,00
G10305;Klingenbach;870;635;9;626;202;32,27;279;44,57;86;13,74;12;1,92;8;1,28;30;4,79;2;0,32;7;1,12;;0,00;;0,00;0;0,00;;0,00;;0,00
G10306;Leithaprodersdorf;965;710;11;699;396;56,65;115;16,45;87;12,45;46;6,58;12;1,72;39;5,58;0;0,00;3;0,43;;0,00;;0,00;1;0,14;;0,00;;0,00
G10307;Mörbisch am See;1.821;1.347;21;1.326;450;33,94;449;33,86;262;19,76;48;3,62;14;1,06;92;6,94;2;0,15;5;0,38;;0,00;;0,00;4;0,30;;0,00;;0,00
G10308;Müllendorf;1.146;868;16;852;328;38,50;273;32,04;108;12,68;42;4,93;22;2,58;68;7,98;2;0,23;7;0,82;;0,00;;0,00;2;0,23;;0,00;;0,00
G10309;Neufeld an der Leitha;2.642;1.868;28;1.840;525;28,53;610;33,15;343;18,64;121;6,58;27;1,47;191;10,38;15;0,82;8;0,43;;0,00;;0,00;0;0,00;;0,00;;0,00
G10310;Oggau am Neusiedler See;1.471;1.149;25;1.124;420;37,37;396;35,23;164;14,59;50;4,45;10;0,89;73;6,49;4;0,36;1;0,09;;0,00;;0,00;6;0,53;;0,00;;0,00
G10311;Oslip;1.021;751;14;737;261;35,41;268;36,36;90;12,21;28;3,80;13;1,76;72;9,77;2;0,27;2;0,27;;0,00;;0,00;1;0,14;;0,00;;0,00
G10312;Purbach am Neusiedler See;2.387;1.597;25;1.572;680;43,26;364;23,16;283;18,00;90;5,73;16;1,02;127;8,08;3;0,19;5;0,32;;0,00;;0,00;4;0,25;;0,00;;0,00
G10313;Sankt Margarethen im Burgenland;2.298;1.666;26;1.640;714;43,54;375;22,87;303;18,48;72;4,39;28;1,71;140;8,54;5;0,30;1;0,06;;0,00;;0,00;2;0,12;;0,00;;0,00
G10314;Schützen am Gebirge;1.108;849;18;831;392;47,17;217;26,11;112;13,48;43;5,17;7;0,84;54;6,50;0;0,00;4;0,48;;0,00;;0,00;2;0,24;;0,00;;0,00
G10315;Siegendorf;2.270;1.634;29;1.605;376;23,43;714;44,49;259;16,14;65;4,05;26;1,62;153;9,53;9;0,56;2;0,12;;0,00;;0,00;1;0,06;;0,00;;0,00
G10316;Steinbrunn;2.099;1.503;16;1.487;473;31,81;528;35,51;249;16,75;84;5,65;20;1,34;120;8,07;8;0,54;4;0,27;;0,00;;0,00;1;0,07;;0,00;;0,00
G10317;Trausdorf an der Wulka;1.658;1.150;11;1.139;409;35,91;397;34,86;171;15,01;48;4,21;21;1,84;86;7,55;3;0,26;2;0,18;;0,00;;0,00;2;0,18;;0,00;;0,00
G10318;Wimpassing an der Leitha;1.226;851;12;839;343;40,88;187;22,29;172;20,50;59;7,03;8;0,95;67;7,99;2;0,24;1;0,12;;0,00;;0,00;0;0,00;;0,00;;0,00
G10319;Wulkaprodersdorf;1.486;1.123;24;1.099;426;38,76;371;33,76;105;9,55;46;4,19;20;1,82;125;11,37;5;0,45;1;0,09;;0,00;;0,00;0;0,00;;0,00;;0,00
G10320;Loretto;411;283;1;282;110;39,01;78;27,66;48;17,02;16;5,67;10;3,55;18;6,38;2;0,71;0;0,00;;0,00;;0,00;0;0,00;;0,00;;0,00
G10321;Stotzing;645;470;8;462;203;43,94;126;27,27;76;16,45;31;6,71;3;0,65;21;4,55;1;0,22;0;0,00;;0,00;;0,00;1;0,22;;0,00;;0,00
G10322;Zillingtal;761;527;7;520;169;32,50;163;31,35;84;16,15;32;6,15;9;1,73;60;11,54;3;0,58;0;0,00;;0,00;;0,00;0;0,00;;0,00;;0,00
G10323;Zagersdorf;832;595;9;586;234;39,93;213;36,35;73;12,46;25;4,27;5;0,85;30;5,12;3;0,51;1;0,17;;0,00;;0,00;2;0,34;;0,00;;0,00
G10399;Wahlkarten - Eisenstadt - Umgebung;0;3.664;35;3.629;1.358;37,42;1.067;29,40;453;12,48;231;6,37;43;1,18;447;12,32;15;0,41;12;0,33;;0,00;;0,00;3;0,08;;0,00;;0,00
G10400;Güssing;21.151;17.336;227;17.109;7.357;43,00;4.935;28,84;2.828;16,53;636;3,72;147;0,86;1.087;6,35;59;0,34;39;0,23;;0,00;;0,00;21;0,12;;0,00;;0,00
G10401;Bocksdorf;674;488;4;484;157;32,44;177;36,57;104;21,49;18;3,72;7;1,45;19;3,93;2;0,41;0;0,00;;0,00;;0,00;0;0,00;;0,00;;0,00
G10402;Burgauberg-Neudauberg;1.097;771;13;758;329;43,40;183;24,14;163;21,50;27;3,56;4;0,53;44;5,80;4;0,53;2;0,26;;0,00;;0,00;2;0,26;;0,00;;0,00
G10403;Eberau;722;495;7;488;274;56,15;93;19,06;68;13,93;20;4,10;5;1,02;25;5,12;2;0,41;1;0,20;;0,00;;0,00;0;0,00;;0,00;;0,00
G10404;Gerersdorf-Sulz;834;601;4;597;282;47,24;171;28,64;83;13,90;16;2,68;3;0,50;42;7,04;0;0,00;0;0,00;;0,00;;0,00;0;0,00;;0,00;;0,00
G10405;Güssing;2.954;1.969;33;1.936;876;45,25;508;26,24;314;16,22;92;4,75;21;1,08;116;5,99;5;0,26;0;0,00;;0,00;;0,00;4;0,21;;0,00;;0,00
G10406;Güttenbach;725;510;10;500;251;50,20;132;26,40;61;12,20;19;3,80;5;1,00;31;6,20;1;0,20;0;0,00;;0,00;;0,00;0;0,00;;0,00;;0,00
G10407;Heiligenbrunn;651;455;7;448;252;56,25;107;23,88;66;14,73;5;1,12;1;0,22;14;3,13;2;0,45;1;0,22;;0,00;;0,00;0;0,00;;0,00;;0,00
G10408;Kukmirn;1.651;1.122;21;1.101;459;41,69;259;23,52;224;20,35;50;4,54;15;1,36;79;7,18;9;0,82;6;0,54;;0,00;;0,00;0;0,00;;0,00;;0,00
G10409;Neuberg im Burgenland;833;576;6;570;257;45,09;183;32,11;73;12,81;21;3,68;2;0,35;30;5,26;2;0,35;1;0,18;;0,00;;0,00;1;0,18;;0,00;;0,00
G10410;Neustift bei Güssing;412;268;3;265;71;26,79;115;43,40;56;21,13;6;2,26;2;0,75;12;4,53;2;0,75;0;0,00;;0,00;;0,00;1;0,38;;0,00;;0,00
G10411;Olbendorf;1.200;836;19;817;222;27,17;328;40,15;185;22,64;25;3,06;5;0,61;41;5,02;6;0,73;2;0,24;;0,00;;0,00;3;0,37;;0,00;;0,00
G10412;Ollersdorf im Burgenland;805;649;10;639;262;41,00;206;32,24;95;14,87;21;3,29;6;0,94;39;6,10;2;0,31;5;0,78;;0,00;;0,00;3;0,47;;0,00;;0,00
G10413;Sankt Michael im Burgenland;811;617;9;608;302;49,67;136;22,37;106;17,43;29;4,77;4;0,66;29;4,77;1;0,16;1;0,16;;0,00;;0,00;0;0,00;;0,00;;0,00
G10414;Stegersbach;2.091;1.419;15;1.404;520;37,04;432;30,77;260;18,52;65;4,63;18;1,28;95;6,77;7;0,50;2;0,14;;0,00;;0,00;5;0,36;;0,00;;0,00
