GKZ	Gebietsname	Wahlberechtigte	Abgegebene	Ungültige	Gültige	ÖVP	SPÖ	FPÖ	GRÜNE	BZÖ	NFÖ	KPÖ	MATIN
G70101	Innsbruck	85670	56383	596	55787	16764	14817	7064	12088	1811	625	608	2010
G70201	Arzl im Pitztal	2150	1540	16	1524	744	360	125	136	52	12	24	71
G70202	Haiming	2950	2128	24	2104	857	546	228	248	85	45	13	82
G70203	Imst	6459	4493	56	4437	1647	1246	568	567	149	29	30	201
G70204	Imsterberg	552	426	5	421	243	113	22	16	12	0	3	12
G70205	Jerzens	707	480	9	471	304	80	37	21	15	2	2	10
G70206	Karres	455	327	10	317	171	79	33	14	9	1	1	9
G70207	Karrösten	539	384	6	378	154	149	40	18	8	0	1	8
G70208	Längenfeld	3011	1969	27	1942	1264	263	107	122	68	14	4	100
G70209	Mieming	2224	1589	27	1562	829	207	135	230	67	18	7	69
G70210	Mils bei Imst	387	287	2	285	141	66	23	23	10	5	2	15
G70211	Mötz	829	574	6	568	258	130	62	69	12	10	4	23
G70212	Nassereith	1539	996	20	976	441	192	141	81	43	17	9	52
G70213	Obsteig	795	589	8	581	296	79	64	98	19	5	4	16
G70214	Ötz	1620	1157	14	1143	670	170	89	103	30	7	14	60
G70215	Rietz	1556	1087	14	1073	437	354	128	68	18	9	8	51
G70216	Roppen	1200	908	15	893	400	296	65	67	17	9	6	33
G70218	Sautens	948	658	17	641	336	114	73	59	26	8	4	21
G70219	Silz	1845	1319	16	1303	529	402	86	148	35	19	12	72
G70220	Sölden	2166	1414	13	1401	990	98	71	95	80	10	1	56
G70217	St. Leonhard im Pitztal	1097	652	11	641	426	55	54	32	42	6	1	25
G70221	Stams	952	680	14	666	300	127	71	98	19	9	8	34
G70222	Tarrenz	1875	1295	21	1274	500	339	156	108	48	14	8	101
G70223	Umhausen	2057	1427	18	1409	864	198	138	82	56	10	6	55
G70224	Wenns	1486	960	20	940	513	194	79	67	29	4	4	50
G70301	Absam	4984	3714	55	3659	1295	1028	382	608	101	37	34	174
