GKZ	Gebietsname	Wahlberechtigte	Abgegebene	Ungültige	Gültige	ÖVP	SPÖ	FPÖ	BZÖ	GRÜNE	FRANK	NEOS	KPÖ	PIRAT
G70101	Innsbruck	88762	50064	656	49408	10065	10244	9598	1186	11135	2323	3727	668	462
G70201	Arzl im Pitztal	2338	1438	19	1419	495	276	282	73	149	68	55	12	9
G70202	Haiming	3382	1920	34	1886	538	398	412	64	242	134	72	5	21
G70203	Imst	6998	4098	64	4034	1248	727	904	97	604	230	176	22	26
G70204	Imsterberg	623	384	10	374	165	68	88	12	24	11	2	2	2
G70205	Jerzens	725	469	7	462	163	64	97	84	25	18	8	0	3
G70206	Karres	492	307	8	299	134	56	58	4	13	20	10	3	1
G70207	Karrösten	563	355	2	353	131	87	77	7	24	17	9	0	1
G70208	Längenfeld	3293	1890	34	1856	965	205	357	75	120	70	53	5	6
G70209	Mieming	2599	1659	28	1631	514	199	346	77	279	104	98	6	8
G70210	Mils bei Imst	451	316	4	312	105	61	54	10	48	13	19	0	2
G70211	Mötz	918	561	9	552	183	92	103	25	89	41	14	2	3
G70212	Nassereith	1613	871	17	854	325	148	178	22	78	60	33	7	3
G70213	Obsteig	898	579	9	570	199	64	111	20	101	40	28	4	3
G70214	Ötz	1766	1059	22	1037	418	146	181	35	121	65	59	4	8
G70215	Rietz	1749	923	17	906	219	245	204	19	105	60	40	7	7
G70216	Roppen	1326	772	8	764	292	200	134	14	58	35	22	4	5
G70218	Sautens	1057	596	6	590	227	107	107	17	59	41	25	1	6
G70219	Silz	1978	1144	28	1116	351	279	189	28	169	49	37	7	7
G70220	Sölden	2247	1223	16	1207	651	80	210	72	86	54	45	3	6
G70217	St. Leonhard im Pitztal	1141	584	4	580	309	46	129	33	24	26	7	0	6
G70221	Stams	1037	635	16	619	189	92	119	11	112	48	27	14	7
G70222	Tarrenz	2118	1143	26	1117	368	151	282	20	115	112	57	6	6
G70223	Umhausen	2320	1424	18	1406	666	162	298	63	95	72	43	2	5
G70224	Wenns	1568	859	27	832	322	151	157	55	72	48	22	1	4
G70301	Absam	5449	3440	45	3395	863	764	576	101	657	183	212	20	19
G70302	Aldrans	1755	1127	19	1108	354	145	166	25	251	55	96	7	9
G70303	Ampass	1258	805	5	800	214	91	179	31	139	54	68	17	7
G70304	Axams	4438	2832	29	2803	720	572	537	94	571	133	138	22	16
G70305	Baumkirchen	918	635	11	624	202	114	116	22	92	39	36	3	0
G70306	Birgitz	1037	661	5	656	203	93	122	41	117	39	34	1	6
G70307	Ellbögen	882	657	10	647	268	105	148	17	54	31	22	1	1
G70308	Flaurling	936	620	6	614	203	121	106	18	101	26	21	7	11
G70309	Fritzens	1619	1045	17	1028	265	224	249	36	119	76	48	3	8
G70310	Fulpmes	2959	1701	19	1682	570	282	375	38	229	98	77	6	7
G70311	Gnadenwald	558	386	5	381	157	38	50	10	60	24	37	1	4
G70312	Götzens	2995	1784	17	1767	477	331	378	64	294	92	111	12	8
G70313	Gries am Brenner	1007	672	6	666	233	122	167	21	59	30	24	5	5
G70314	Gries im Sellrain	473	302	2	300	143	49	63	7	21	7	8	1	1
G70315	Grinzens	1048	635	11	624	216	128	122	20	85	21	28	2	2
G70317	Gschnitz	341	230	6	224	96	35	50	10	13	12	7	1	0
G70354	Hall in Tirol	9269	5320	74	5246	1198	1132	1008	139	1008	287	367	59	48
G70318	Hatting	986	668	3	665	217	147	123	10	101	19	42	4	2
G70319	Inzing	2795	1734	29	1705	532	348	251	32	326	92	95	15	14
G70320	Kematen in Tirol	2052	1261	18	1243	375	256	223	37	226	53	64	5	4
G70322	Kolsass	1261	845	9	836	243	151	176	26	132	50	51	5	2
G70323	Kolsassberg	592	391	3	388	167	63	72	7	39	22	16	1	1
G70325	Lans	765	503	10	493	181	53	57	40	83	18	52	6	3
G70326	Leutasch	1551	868	12	856	409	91	123	30	112	61	25	3	2
G70327	Matrei am Brenner	724	471	6	465	125	151	98	19	30	16	21	2	3
G70328	Mieders	1289	828	10	818	281	112	155	47	119	51	47	2	4
G70329	Mils	3268	2151	35	2116	632	311	438	76	361	127	151	11	9
G70330	Mühlbachl	1010	664	10	654	282	141	104	18	53	44	10	1	1
G70331	Mutters	1611	1067	9	1058	394	139	171	53	193	38	53	6	11
G70332	Natters	1475	978	6	972	331	130	143	42	174	55	88	7	2
G70333	Navis	1589	1046	14	1032	448	166	230	32	66	44	40	3	3
G70334	Neustift im Stubaital	3399	2123	21	2102	865	237	518	73	213	108	67	10	11
G70335	Oberhofen im Inntal	1293	821	13	808	255	178	151	22	120	44	27	10	1
G70336	Obernberg am Brenner	284	209	1	208	112	26	29	12	10	4	12	3	0
G70337	Oberperfuss	2316	1488	16	1472	522	267	227	43	256	61	76	13	7
G70338	Patsch	783	528	7	521	184	90	72	12	95	34	25	2	7
G70339	Pettnau	761	474	8	466	177	73	79	22	67	27	13	6	2
G70340	Pfaffenhofen	797	463	5	458	117	117	72	10	85	27	22	6	2
G70341	Pfons	1036	705	10	695	262	126	135	24	77	31	35	4	1
G70342	Polling in Tirol	718	421	4	417	87	108	132	16	40	18	10	4	2
G70343	Ranggen	775	534	8	526	189	89	108	14	72	22	23	4	5
G70344	Reith bei Seefeld	854	495	13	482	165	50	107	20	83	30	25	1	1
G70345	Rinn	1319	926	16	910	289	130	169	46	144	53	69	7	3
G70346	Rum	6752	4228	49	4179	741	1155	941	97	683	232	284	24	22
G70348	Scharnitz	879	482	2	480	177	106	113	13	29	26	14	1	1
G70349	Schmirn	687	516	3	513	281	86	84	11	30	14	6	1	0
G70350	Schönberg im Stubaital	700	462	6	456	157	78	65	26	76	29	21	3	1
G70351	Seefeld in Tirol	2027	1165	11	1154	481	139	202	33	131	76	72	7	13
G70352	Sellrain	1130	658	12	646	279	147	108	9	49	29	13	3	9
G70353	Sistrans	1623	1115	12	1103	342	118	167	33	274	50	101	11	7
G70347	St. Sigmund im Sellrain	134	84	1	83	44	9	16	4	3	4	1	1	1
G70355	Steinach am Brenner	2625	1705	17	1688	528	349	361	55	196	100	93	1	5
G70356	Telfes im Stubai	1186	783	21	762	309	119	123	26	92	33	39	15	6
G70357	Telfs	10519	5699	55	5644	1116	1233	1269	164	1179	340	258	31	54
G70358	Thaur	2921	1964	13	1951	693	380	328	42	319	76	92	7	14
G70359	Trins	1004	678	8	670	249	108	138	29	73	37	28	4	4
G70360	Tulfes	1122	716	15	701	264	72	166	31	89	47	22	1	9
G70361	Unterperfuss	180	80	0	80	38	11	15	4	7	3	0	0	2
G70362	Vals	431	312	4	308	160	42	58	9	18	10	6	3	2
G70364	Völs	5143	3142	36	3106	814	636	628	114	530	159	165	33	27
G70365	Volders	3454	2157	27	2130	615	321	573	51	293	128	122	17	10
G70366	Wattenberg	569	442	7	435	203	22	118	14	40	21	13	2	2
G70367	Wattens	6052	3619	42	3577	862	715	896	96	537	264	163	22	22
G70368	Wildermieming	666	494	6	488	159	68	94	16	82	29	33	2	5
G70369	Zirl	5867	3429	51	3378	722	706	634	109	743	190	219	31	24
G70401	Aurach bei Kitzbühel	851	522	5	517	232	73	86	18	39	48	17	3	1
G70402	Brixen im Thale	2017	1227	14	1213	485	282	184	34	117	74	27	6	4
G70403	Fieberbrunn	3364	2144	25	2119	713	510	347	61	257	141	68	4	18
G70404	Going am Wilden Kaiser	1314	764	5	759	286	100	175	33	70	60	23	6	6
G70405	Hochfilzen	898	605	11	594	172	195	119	19	41	35	13	0	0
G70406	Hopfgarten im Brixental	4258	2659	32	2627	1098	424	455	79	307	147	86	15	16
G70407	Itter	885	618	9	609	223	116	106	28	53	46	34	2	1
G70408	Jochberg	1194	759	8	751	251	161	178	19	68	52	18	2	2
G70409	Kirchberg in Tirol	3661	2090	21	2069	747	464	388	75	194	149	37	6	9
G70410	Kirchdorf in Tirol	2808	1684	18	1666	546	253	407	66	182	151	52	7	2
G70411	Kitzbühel	6046	3294	35	3259	995	584	672	123	393	260	196	14	22
G70412	Kössen	2983	1663	18	1645	690	182	357	39	171	138	50	8	10
G70413	Oberndorf in Tirol	1552	972	12	960	324	232	171	24	99	72	33	1	4
G70414	Reith bei Kitzbühel	1174	757	10	747	313	81	130	39	94	54	27	5	4
G70418	Schwendt	571	349	2	347	167	49	53	8	39	16	9	3	3
G70415	St. Jakob in Haus	557	372	12	360	124	68	68	10	44	29	12	0	5
G70416	St. Johann in Tirol	6496	3821	62	3759	1044	644	930	116	568	242	168	22	25
G70417	St. Ulrich am Pillersee	1154	730	2	728	307	103	137	27	89	37	22	1	5
G70419	Waidring	1487	978	16	962	339	153	208	46	99	78	25	11	3
G70420	Westendorf	2760	1684	27	1657	716	287	276	39	177	99	53	1	9
G70501	Alpbach	1907	1296	10	1286	645	65	257	73	95	91	51	6	3
G70502	Angath	719	492	9	483	139	89	114	19	65	41	11	4	1
G70528	Angerberg	1411	919	12	907	302	120	186	29	126	80	52	6	6
