;;Nationalratswahl vom 01.10.2006 in Niederösterreich;;;;;;;;;;;;;;;Ant. % = Stimmenanteil in %;;;;Diff. % = Differenz zu Nationalratswahl 2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;ÖVP;;;SPÖ;;;FPÖ;;;GRÜNE;;;KPÖ;;;BZÖ;;;MATIN;;;;;;;;;;;;;;;;;;;;;;;;;;
Kenn-Nr.;Bezeichnung;Wahl-berecht.;Wahl-bet. in%;ungült. Stim.;Gültige Stimmen;Stimmen;Ant. %;Diff. %;Stimmen;Ant. %;Diff. %;Stimmen;Ant. %;Diff. %;Stimmen;Ant. %;Diff. %;Stimmen;Ant. %;Diff. %;Stimmen;Ant. %;Diff. %;Stimmen;Ant. %;Diff. %;;;;;;;;;;;;;;;;;;;;;;;;
3;Land Niederösterreich                   ;1.204.859;85,15;21.041;1.004.901;394.149;39,22;-8,61;363.379;36,16;-0,62;96.915;9,64;2,72;90.383;8,99;1,78;7.546;0,75;0,29;22.698;2,26;2,26;29.831;2,97;2,97;;;;;;;;;;;;;;;;;;;;;;;;
     ;WK Weinviertel                          ;221.285;85,71;3.778;185.896;76.655;41,24;-8,93;65.648;35,31;-0,24;17.990;9,68;2,87;14.711;7,91;1,64;1.331;0,72;0,29;3.894;2,09;2,09;5.667;3,05;3,05;;;;;;;;;;;;;;;;;;;;;;;;
     ;WK Waldviertel                          ;175.392;86,63;4.000;147.945;72.561;49,05;-7,80;45.282;30,61;0,28;11.797;7,97;1,45;10.217;6,91;1,69;970;0,66;0,22;3.171;2,14;2,14;3.947;2,67;2,67;;;;;;;;;;;;;;;;;;;;;;;;
     ;WK Mostviertel                          ;184.141;87,16;3.552;156.947;70.497;44,92;-8,68;52.183;33,25;0,30;13.595;8,66;2,39;11.807;7,52;1,35;1.068;0,68;0,29;3.625;2,31;2,31;4.172;2,66;2,66;;;;;;;;;;;;;;;;;;;;;;;;
     ;WK Niederösterreich Mitte               ;181.805;85,50;3.352;152.090;56.787;37,34;-8,59;57.084;37,53;-0,96;15.048;9,89;3,01;13.864;9,12;1,82;1.246;0,82;0,28;3.331;2,19;2,19;4.730;3,11;3,11;;;;;;;;;;;;;;;;;;;;;;;;
     ;WK Niederösterreich Süd                 ;151.370;83,63;2.544;124.054;40.708;32,81;-8,50;52.574;42,38;-1,59;13.688;11,03;3,97;9.202;7,42;1,00;994;0,80;0,31;3.016;2,43;2,43;3.872;3,12;3,12;;;;;;;;;;;;;;;;;;;;;;;;
     ;WK Wien-Umgebung                        ;163.306;83,20;1.974;133.899;44.832;33,48;-8,80;46.898;35,02;-1,60;13.326;9,95;2,56;20.509;15,32;3,16;1.133;0,85;0,40;3.196;2,39;2,39;4.005;2,99;2,99;;;;;;;;;;;;;;;;;;;;;;;;
     ;WK Niederösterreich Süd-Ost             ;127.560;83,03;1.841;104.070;32.109;30,85;-8,95;43.710;42,00;-1,03;11.471;11,02;3,04;10.073;9,68;1,91;804;0,77;0,27;2.465;2,37;2,37;3.438;3,30;3,30;;;;;;;;;;;;;;;;;;;;;;;;
30101;Krems an der Donau                      ;18.168;77,10;303;13.704;4.620;33,71;-10,05;5.139;37,50;-0,51;1.460;10,65;2,90;1.549;11,30;2,65;168;1,23;0,31;337;2,46;2,46;431;3,15;3,15;;;;;;;;;;;;;;;;;;;;;;;;
30201;St. Pölten                              ;38.165;78,72;499;29.546;7.526;25,47;-7,17;14.208;48,09;-2,60;3.089;10,45;4,56;2.974;10,07;0,99;280;0,95;0,36;656;2,22;2,22;813;2,75;2,75;;;;;;;;;;;;;;;;;;;;;;;;
30301;Waidhofen an der Ybbs                   ;8.946;82,98;168;7.255;3.259;44,92;-8,52;2.126;29,30;-2,43;675;9,30;3,34;729;10,05;2,69;47;0,65;-0,02;177;2,44;2,44;242;3,34;3,34;;;;;;;;;;;;;;;;;;;;;;;;
30401;Wiener Neustadt                         ;29.243;75,35;418;21.618;4.961;22,95;-8,95;10.427;48,23;-2,61;2.601;12,03;4,66;2.060;9,53;1,38;244;1,13;0,46;591;2,73;2,73;734;3,40;3,40;;;;;;;;;;;;;;;;;;;;;;;;
305;Bezirk Amstetten                        ;84.659;83,84;1.511;69.466;30.548;43,98;-8,85;23.447;33,75;-0,13;6.380;9,18;2,96;5.151;7,42;1,30;460;0,66;0,29;1.692;2,44;2,44;1.788;2,57;2,57;;;;;;;;;;;;;;;;;;;;;;;;
