	GKZ	Gebietsname	Wahlberechtigte	Abgegebene	Ungültige	Gültige	SPÖ	FPÖ	ÖVP	GRÜNE	KPÖ	LIF
1	40000	Land Oberösterreich                	1005882	868461	14896	853565	316009	88790	363497	74043	3979	7247
2	4A000	Wahlkreis Linz und Umgebung             	230461	192804	2636	190168	86490	18962	60711	20932	974	2099
3	4A099	Wahlkarten Linz und Umgebung  		9061	71	8990	2709	614	3508	2023	32	104
4	4B000	Wahlkreis Innviertel                    	153027	129176	2452	126724	36501	17585	62605	8528	601	904
5	4B099	Wahlkarten Innviertel         		3839	40	3799	776	282	1695	972	20	54
6	4C000	Wahlkreis Hausruckviertel               	244258	211539	3743	207796	74102	23787	89752	17368	983	1804
7	4C099	Wahlkarten Hausruckviertel    		6952	59	6893	1597	503	2913	1766	17	97
8	4D000	Wahlkreis Traunviertel                  	183933	160184	2819	157365	63167	15735	63298	13117	758	1290
9	4D099	Wahlkarten Traunviertel       		6284	43	6241	1529	404	2702	1502	18	86
10	4E000	Wahlkreis Mühlviertel                   	194203	174758	3246	171512	55749	12721	87131	14098	663	1150
11	4E099	Wahlkarten Mühlviertel        		6006	69	5937	1551	313	2564	1424	16	69
12	40100	Stadt Linz                          	136449	104813	1318	103495	48849	10436	30251	12163	617	1179
13	40200	Stadt Steyr                         	28244	22575	295	22280	11552	2221	6120	2038	121	228
14	40300	Stadt Wels                          	38829	30718	334	30384	13349	3787	9685	3037	177	349
15	40400	Bezirk Braunau am Inn                	68887	55247	1130	54117	17463	6981	25391	3559	279	444
16	40401	Altheim                       	3622	2990	63	2927	1171	438	1101	186	16	15
17	40402	Aspach                        	1729	1416	29	1387	302	161	851	60	6	7
18	40403	Auerbach                      	379	318	7	311	46	32	207	20	2	4
19	40404	Braunau am Inn                	11812	9047	174	8873	3807	1198	2803	910	55	100
20	40405	Burgkirchen                   	1836	1499	28	1471	386	170	823	80	6	6
21	40406	Eggelsberg                    	1509	1174	42	1132	242	176	584	112	8	10
22	40407	Feldkirchen bei Mattighofen   	1345	1076	25	1051	200	196	599	46	5	5
23	40408	Franking                      	589	515	8	507	103	58	307	25	3	11
24	40409	Geretsberg                    	762	603	15	588	108	105	341	24	3	7
25	40410	Gilgenberg am Weilhart        	888	681	13	668	102	107	426	21	7	5
26	40411	Haigermoos                    	415	336	5	331	68	53	187	21	1	1
27	40412	Handenberg                    	978	809	15	794	136	112	494	43	3	6
28	40413	Helpfau-Uttendorf             	2238	1807	36	1771	559	257	853	83	7	12
29	40414	Hochburg-Ach                  	2207	1717	25	1692	343	168	1027	131	7	16
30	40415	Höhnhart                      	1065	851	16	835	237	123	438	31	5	1
31	40416	Jeging                        	421	363	14	349	126	21	176	18	6	2
32	40417	Kirchberg bei Mattighofen     	759	639	12	627	96	108	391	24	4	4
33	40418	Lengau                        	3147	2492	44	2448	1063	243	931	178	16	17
34	40419	Lochen                        	1738	1385	38	1347	291	157	789	89	9	12
35	40420	Maria Schmolln                	994	858	27	831	170	87	544	25	3	2
36	40421	Mattighofen                   	3371	2644	46	2598	1155	321	898	182	17	25
37	40422	Mauerkirchen                  	1527	1181	27	1154	447	201	417	77	3	9
38	40423	Mining                        	876	738	23	715	229	94	347	42	2	1
39	40424	Moosbach                      	645	526	11	515	96	111	276	24	2	6
40	40425	Moosdorf                      	1040	836	20	816	338	78	337	59	2	2
41	40426	Munderfing                    	1921	1587	31	1556	593	125	701	116	4	17
42	40427	Neukirchen an der Enknach     	1551	1288	16	1272	339	183	665	72	3	10
43	40428	Ostermiething                 	2074	1587	36	1551	436	147	847	103	5	13
44	40429	Palting                       	627	518	12	506	102	49	320	25	3	7
45	40430	Perwang am Grabensee          	527	437	12	425	85	34	270	32	3	1
46	40431	Pfaffstätt                    	666	524	16	508	148	77	248	29	2	4
47	40432	Pischelsdorf am Engelbach     	1201	964	22	942	181	180	533	30	5	13
48	40433	Polling im Innkreis           	698	601	9	592	157	82	333	13	3	4
49	40434	Roßbach                       	706	597	12	585	187	101	267	26	3	1
50	40435	St.Georgen am Fillmannsbach   	291	239	9	230	27	91	108	4	0	0
51	40436	St.Johann am Walde            	1517	1278	36	1242	530	107	546	52	5	2
52	40437	St.Pantaleon                  	2171	1757	30	1727	756	156	662	119	16	18
53	40438	St.Peter am Hart              	1681	1375	21	1354	464	151	612	104	6	17
54	40439	St.Radegund                   	438	359	2	357	37	24	273	18	3	2
55	40440	St.Veit im Innkreis           	297	268	4	264	76	30	152	5	0	1
56	40441	Schalchen                     	2578	2073	48	2025	814	225	778	170	10	28
57	40442	Schwand im Innkreis           	647	545	6	539	111	62	352	12	1	1
58	40443	Tarsdorf                      	1384	1126	17	1109	205	128	698	67	2	9
59	40444	Treubach                      	546	455	9	446	73	71	287	10	3	2
60	40445	Überackern                    	431	315	3	312	74	41	186	9	1	1
61	40446	Weng im Innkreis              	1043	853	16	837	247	142	406	32	3	7
62	40500	Bezirk Eferding                      	22574	19532	332	19200	7174	2077	8435	1302	81	131
63	40501	Alkoven                       	3867	3253	40	3213	1579	322	1053	227	12	20
64	40502	Aschach an der Donau          	1558	1362	17	1345	590	177	462	105	4	7
65	40503	Eferding                      	2507	2108	32	2076	800	249	818	171	9	29
66	40504	Fraham                        	1488	1323	24	1299	564	162	464	92	7	10
67	40505	Haibach ob der Donau          	978	848	25	823	269	64	406	71	8	5
68	40506	Hartkirchen                   	3006	2629	53	2576	839	269	1302	144	8	14
69	40507	Hinzenbach                    	1423	1266	15	1251	495	108	571	68	3	6
70	40508	Prambachkirchen               	2056	1791	35	1756	504	135	996	111	5	5
71	40509	Pupping                       	1370	1204	24	1180	397	151	541	78	1	12
72	40510	St.Marienkirchen an d. Polsenz	1636	1433	32	1401	482	160	659	79	9	12
73	40511	Scharten                      	1503	1292	14	1278	460	204	487	115	6	6
74	40512	Stroheim                      	1182	1023	21	1002	195	76	676	41	9	5
75	40600	Bezirk Freistadt                     	47050	41435	766	40669	13766	2851	20780	2856	163	253
76	40601	Freistadt                     	5428	4680	95	4585	1712	347	1889	568	23	46
77	40602	Grünbach                      	1285	1140	18	1122	297	110	643	57	5	10
78	40603	Gutau                         	1937	1703	26	1677	553	119	891	108	3	3
79	40604	Hagenberg im Mühlkreis        	1873	1624	26	1598	638	155	618	161	10	16
80	40605	Hirschbach im Mühlkreis       	869	796	26	770	207	48	440	70	1	4
81	40606	Kaltenberg                    	465	436	9	427	33	26	356	9	0	3
82	40607	Kefermarkt                    	1513	1360	28	1332	475	86	681	77	4	9
83	40608	Königswiesen                  	2312	2017	34	1983	551	129	1190	100	5	8
84	40609	Lasberg                       	2022	1771	32	1739	451	108	1031	128	5	16
85	40610	Leopoldschlag                 	755	668	14	654	139	43	434	32	1	5
86	40611	Liebenau                      	1359	1200	20	1180	391	57	697	30	2	3
87	40612	Neumarkt im Mühlkreis         	2251	1941	27	1914	597	137	1007	155	9	9
88	40613	Pierbach                      	715	595	13	582	145	40	369	24	2	2
89	40614	Pregarten                     	3615	3181	51	3130	1354	219	1301	219	9	28
90	40615	Rainbach im Mühlkreis         	2115	1842	34	1808	571	104	997	117	5	14
91	40616	Sandl                         	1089	955	23	932	442	41	387	45	10	7
92	40617	St.Leonhard bei Freistadt     	1097	989	13	976	324	56	557	28	8	3
93	40618	St.Oswald bei Freistadt       	1922	1692	42	1650	628	119	813	75	10	5
94	40619	Schönau im Mühlkreis          	1355	1228	10	1218	325	77	760	50	3	3
95	40620	Tragwein                      	2174	1971	22	1949	828	101	897	112	4	7
96	40621	Unterweißenbach               	1753	1530	50	1480	384	106	922	56	5	7
97	40622	Unterweitersdorf              	1264	1146	13	1133	510	65	455	97	4	2
98	40623	Waldburg                      	1014	892	16	876	250	46	520	58	0	2
99	40624	Wartberg ob der Aist          	2830	2496	50	2446	1031	259	892	229	16	19
100	40625	Weitersfelden                 	815	722	8	714	194	28	453	33	4	2
101	40626	Windhaag bei Freistadt        	1255	1126	26	1100	317	95	631	41	8	8
102	40627	Bad Zell                      	1968	1734	40	1694	419	130	949	177	7	12
103	40700	Bezirk Gmunden                       	72973	60640	1258	59382	24743	6169	22635	4975	340	520
104	40701	Altmünster                    	7170	5942	102	5840	2126	519	2557	542	31	65
105	40702	Bad Goisern                   	5635	4682	134	4548	2314	639	1192	336	40	27
106	40703	Bad Ischl                     	10404	8101	127	7974	3138	947	2974	762	58	95
107	40704	Ebensee                       	6403	5520	131	5389	2822	401	1636	429	48	53
108	40705	Gmunden                       	9638	7749	163	7586	2466	831	3284	896	34	75
109	40706	Gosau                         	1454	1222	28	1194	675	74	374	61	7	3
110	40707	Grünau im Almtal              	1605	1357	33	1324	540	159	549	61	8	7
111	40708	Gschwandt                     	1770	1537	34	1503	511	137	726	112	4	13
112	40709	Hallstatt                     	747	621	15	606	349	41	148	61	4	3
113	40710	Kirchham                      	1362	1144	25	1119	221	115	697	71	4	11
114	40711	Laakirchen                    	6292	5363	94	5269	2796	477	1543	401	32	20
115	40712	Obertraun                     	597	509	11	498	275	26	153	36	4	4
116	40713	Ohlsdorf                      	3321	2857	67	2790	1237	237	1066	214	7	29
117	40714	Pinsdorf                      	2562	2226	56	2170	1002	223	766	154	9	16
118	40715	Roitham                       	1472	1277	21	1256	453	158	550	78	5	12
119	40716	St.Konrad                     	758	659	14	645	200	47	346	45	7	0
120	40717	St.Wolfgang im Salzkammergut  	2022	1630	32	1598	521	177	793	81	6	20
121	40718	Traunkirchen                  	1330	1120	22	1098	365	76	522	125	2	8
122	40719	Scharnstein                   	3366	2846	64	2782	1146	341	1038	216	12	29
123	40720	Vorchdorf                     	5065	4278	85	4193	1586	544	1721	294	18	30
124	40800	Bezirk Grieskirchen                  	45532	38763	809	37954	10922	4474	19745	2383	176	254
125	40801	Aistersheim                   	568	478	4	474	117	66	259	27	1	4
126	40802	Bad Schallerbach              	2544	2210	49	2161	786	240	956	154	4	21
