	GKZ	Gebietsname	Wahlberechtigte	Abgegebene	Ungültige	Gültige	SPÖ	ÖVP	GRÜNE	FPÖ	BZÖ	RETTÖ	LIF	KPÖ	DC	LINKE	FRITZ
1	40000	Land Oberösterreich	1088438	892455	24677	867778	264315	232153	85970	165139	78901	8162	11437	5386	7361	359	8595
2	40099	Wahlkarten Oberösterreich	0	48	48	0	0	0	0	0	0	0	0	0	0	0	0
3	4A000	Wahlkreis Linz und Umgebung	245598	194043	3690	190353	71676	34969	23588	34949	15481	1655	3680	1451	1171	108	1625
4	4A099	Wahlkarten Linz und Umgebung	0	3549	54	3495	899	826	754	468	282	21	157	28	16	1	43
5	4B000	Wahlkreis Innviertel	165085	130511	4115	126396	29720	40590	9734	28801	12047	1469	1069	613	955	48	1350
6	4B099	Wahlkarten Innviertel	0	1043	26	1017	137	302	282	115	104	11	36	8	10	2	10
7	4C000	Wahlkreis Hausruckviertel	266391	220102	6321	213781	61132	56972	19743	45644	20324	2034	2535	1215	2009	73	2100
8	4C099	Wahlkarten Hausruckviertel	0	2170	36	2134	413	579	527	284	174	17	85	12	16	1	26
9	4D000	Wahlkreis Traunviertel	197634	163130	4404	158726	52620	39792	15345	26902	15979	1514	2088	1117	1481	56	1832
10	4D099	Wahlkarten Traunviertel	0	1813	28	1785	351	450	446	216	178	12	69	18	21	2	22
11	4E000	Wahlkreis Mühlviertel	213730	184621	6099	178522	49167	59830	17560	28843	15070	1490	2065	990	1745	74	1688
12	4E099	Wahlkarten Mühlviertel	0	2020	56	1964	472	504	467	229	131	19	69	26	19	2	26
13	40100	Stadt Linz	142125	105490	1843	103647	40297	17101	14361	18457	7824	834	2293	962	580	73	865
14	40101	Linz	142125	96209	1713	94496	37496	14890	12599	17328	7232	754	1946	880	521	62	788
15	40199	Wahlkarten Linz	0	9281	130	9151	2801	2211	1762	1129	592	80	347	82	59	11	77
16	40200	Stadt Steyr                         	28962	22172	446	21726	9406	3108	2213	3975	1979	187	362	172	111	10	203
17	40201	Steyr             	28962	20765	430	20335	8937	2771	1989	3828	1872	170	301	163	103	9	192
18	40299	Wahlkarten Steyr                         	0	1407	16	1391	469	337	224	147	107	17	61	9	8	1	11
19	40300	Stadt Wels                          	40994	30856	543	30313	10846	5163	3325	6480	3135	183	526	218	189	13	235
20	40301	Wels	40994	28803	515	28288	10280	4628	2984	6186	2967	170	458	208	180	13	214
21	40399	Wahlkarten Wels                          	0	2053	28	2025	566	535	341	294	168	13	68	10	9	0	21
22	40400	Bezirk Braunau am Inn                	74829	56828	1871	54957	14130	16235	4338	11804	6034	653	491	265	376	24	607
23	40401	Altheim                       	3873	2892	82	2810	860	630	169	735	305	32	17	3	30	2	27
24	40402	Aspach                        	1869	1390	44	1346	250	566	59	302	105	16	16	2	11	1	18
25	40403	Auerbach                      	411	310	9	301	38	129	27	75	21	2	1	0	5	0	3
26	40404	Braunau am Inn                	12539	8091	190	7901	2723	1291	859	1836	836	101	81	53	44	1	76
27	40405	Burgkirchen                   	2036	1477	53	1424	307	527	115	269	162	13	13	5	2	0	11
28	40406	Eggelsberg                    	1670	1096	61	1035	218	336	82	191	150	19	10	8	6	0	15
29	40407	Feldkirchen bei Mattighofen   	1499	1106	32	1074	180	400	70	245	134	12	2	5	11	1	14
30	40408	Franking                      	670	493	23	470	70	185	28	111	44	2	10	4	2	0	14
31	40409	Geretsberg                    	820	551	26	525	98	209	41	107	51	3	2	2	3	0	9
32	40410	Gilgenberg am Weilhart        	978	670	22	648	92	275	25	125	107	6	4	5	1	0	8
33	40411	Haigermoos                    	480	340	9	331	56	136	32	71	24	2	3	0	1	0	6
34	40412	Handenberg                    	1033	743	25	718	123	318	32	125	84	8	0	6	15	0	7
35	40413	Helpfau-Uttendorf             	2406	1714	72	1642	426	489	84	400	183	17	14	8	5	3	13
36	40414	Hochburg-Ach                  	2268	1514	55	1459	285	572	119	243	170	24	13	11	7	1	14
37	40415	Höhnhart                      	1117	796	30	766	172	282	29	195	66	3	1	4	9	1	4
38	40416	Jeging	483	390	11	379	106	116	12	79	45	5	2	5	3	0	6
39	40417	Kirchberg bei Mattighofen     	860	667	25	642	81	252	40	155	86	3	5	5	5	0	10
40	40418	Lengau                        	3422	2553	115	2438	804	512	177	550	288	31	23	13	17	1	22
41	40419	Lochen                        	1931	1446	53	1393	220	523	109	291	187	16	15	6	10	0	16
42	40420	Maria Schmolln                	1111	823	37	786	155	330	52	144	75	6	2	3	13	1	5
43	40421	Mattighofen                   	3662	2512	54	2458	951	437	196	499	277	23	20	16	17	1	21
44	40422	Mauerkirchen                  	1638	1100	28	1072	337	236	70	283	102	11	12	6	7	0	8
45	40423	Mining                        	933	701	29	672	153	233	62	132	70	6	8	1	2	0	5
46	40424	Moosbach                      	737	534	19	515	61	176	24	174	63	9	2	0	1	0	5
47	40425	Moosdorf                      	1211	842	46	796	267	202	62	158	70	7	5	6	6	0	13
48	40426	Munderfing                    	2072	1547	57	1490	435	458	95	265	165	26	15	4	9	1	17
49	40427	Neukirchen an der Enknach     	1680	1225	27	1198	247	382	78	294	134	22	7	5	15	0	14
50	40428	Ostermiething                 	2341	1513	60	1453	313	486	112	269	203	19	9	3	9	0	30
51	40429	Palting                       	725	541	15	526	92	224	42	86	64	8	3	0	3	0	4
52	40430	Perwang am Grabensee          	624	477	14	463	89	162	35	94	60	3	9	5	2	0	4
53	40431	Pfaffstätt                    	752	547	16	531	139	152	28	100	85	7	6	2	4	0	8
54	40432	Pischelsdorf am Engelbach     	1264	935	30	905	133	374	37	226	101	7	8	3	6	0	10
55	40433	Polling im Innkreis           	716	556	17	539	136	206	18	123	32	5	3	3	2	1	10
56	40434	Roßbach                       	772	595	25	570	152	211	14	141	37	6	1	2	2	0	4
57	40435	St.Georgen am Fillmannsbach   	312	251	9	242	23	70	7	99	34	2	1	1	5	0	0
58	40436	St.Johann am Walde            	1696	1275	67	1208	385	343	77	245	121	8	1	4	10	0	14
59	40437	St.Pantaleon                  	2346	1652	50	1602	533	375	139	318	165	24	15	10	8	0	15
60	40438	St.Peter am Hart              	1845	1299	59	1240	336	341	114	264	132	17	15	5	6	0	10
61	40439	St.Radegund                   	465	359	12	347	33	205	28	26	38	4	5	3	2	1	2
62	40440	St.Veit im Innkreis           	331	264	5	259	71	82	6	73	20	1	2	0	2	0	2
63	40441	Schalchen                     	2815	2000	67	1933	597	435	165	388	256	19	23	13	14	0	23
64	40442	Schwand im Innkreis           	681	517	12	505	75	222	31	110	49	6	1	3	3	1	4
65	40443	Tarsdorf                      	1578	1062	52	1010	144	396	85	210	128	11	10	3	9	0	14
66	40444	Treubach                      	597	445	14	431	56	204	11	100	48	1	1	1	7	0	2
67	40445	Überackern                    	445	297	4	293	76	92	12	69	34	2	4	3	1	0	0
68	40446	Weng im Innkreis              	1115	816	32	784	154	271	28	230	71	10	1	1	5	1	12
69	40499	Wahlkarten Braunau am Inn                	0	3904	77	3827	878	1182	601	579	352	68	70	14	19	6	58
70	40500	Bezirk Eferding                      	24923	21031	563	20468	6201	5765	1767	4115	1795	201	198	93	141	11	181
71	40501	Alkoven                       	4224	3360	84	3276	1319	699	301	541	296	24	30	20	20	4	22
72	40502	Aschach an der Donau          	1692	1359	22	1337	451	267	149	318	111	14	9	5	5	0	8
73	40503	Eferding                      	2751	2016	57	1959	648	479	188	404	167	12	28	11	8	0	14
74	40504	Fraham                        	1704	1380	30	1350	468	317	105	286	122	12	17	6	7	0	10
75	40505	Haibach ob der Donau          	1068	852	28	824	234	300	71	119	65	13	6	4	2	1	9
76	40506	Hartkirchen                   	3398	2798	95	2703	673	810	211	643	255	35	16	12	10	3	35
77	40507	Hinzenbach                    	1529	1291	25	1266	418	384	72	249	103	6	11	1	13	0	9
78	40508	Prambachkirchen               	2262	1833	53	1780	412	662	128	363	159	19	14	6	6	0	11
79	40509	Pupping                       	1582	1254	29	1225	353	351	93	249	122	13	8	10	12	0	14
80	40510	St.Marienkirchen an d. Polsenz	1820	1482	37	1445	357	403	127	351	118	21	19	7	26	1	15
81	40511	Scharten                      	1652	1358	22	1336	418	332	121	290	120	14	10	3	18	0	10
82	40512	Stroheim                      	1241	1012	49	963	153	436	58	167	106	6	13	4	3	1	16
83	40599	Wahlkarten Eferding                      	0	1036	32	1004	297	325	143	135	51	12	17	4	11	1	8
84	40600	Bezirk Freistadt                     	51822	44755	1497	43258	12147	14641	3901	7230	3630	315	424	227	376	18	349
85	40601	Freistadt                     	5848	4664	115	4549	1405	1174	590	793	430	32	46	20	26	3	30
86	40602	Grünbach                      	1480	1194	51	1143	240	397	78	260	119	13	11	4	13	0	8
87	40603	Gutau                         	2146	1710	43	1667	470	564	154	261	155	17	11	5	15	0	15
88	40604	Hagenberg im Mühlkreis        	2097	1661	39	1622	529	346	215	321	128	18	16	20	15	1	13
89	40605	Hirschbach im Mühlkreis       	919	758	44	714	156	311	66	89	59	7	6	4	7	1	8
90	40606	Kaltenberg                    	510	448	19	429	32	270	10	72	39	2	1	1	0	0	2
91	40607	Kefermarkt                    	1696	1407	48	1359	417	411	108	237	121	11	23	9	11	1	10
92	40608	Königswiesen                  	2518	2031	68	1963	456	780	131	375	151	7	11	11	25	0	16
93	40609	Lasberg                       	2269	1826	49	1777	422	698	159	287	133	15	20	5	19	1	18
94	40610	Leopoldschlag                 	856	684	36	648	112	329	44	103	39	5	5	1	0	0	10
95	40611	Liebenau                      	1450	1148	40	1108	290	519	34	158	69	5	9	6	9	0	9
96	40612	Neumarkt im Mühlkreis         	2496	2051	82	1969	565	650	219	299	146	15	33	7	5	2	28
97	40613	Pierbach                      	806	649	22	627	131	230	32	142	54	3	2	3	28	0	2
98	40614	Pregarten                     	3944	3287	85	3202	1124	864	258	550	303	19	28	21	18	2	15
99	40615	Rainbach im Mühlkreis         	2301	1823	86	1737	451	721	145	232	129	7	9	3	25	1	14
100	40616	Sandl                         	1163	964	50	914	351	255	54	139	67	10	5	12	12	0	9
101	40617	St.Leonhard bei Freistadt     	1178	982	27	955	267	367	48	158	86	6	7	5	5	0	6
102	40618	St.Oswald bei Freistadt       	2130	1732	64	1668	509	532	83	338	144	14	8	7	20	0	13
103	40619	Schönau im Mühlkreis          	1504	1288	33	1255	287	506	64	237	135	5	4	3	5	1	8
104	40620	Tragwein                      	2439	2072	60	2012	701	685	149	285	118	12	20	13	18	0	11
105	40621	Unterweißenbach               	1925	1587	64	1523	336	640	80	278	137	7	8	6	16	1	14
106	40622	Unterweitersdorf              	1513	1280	27	1253	414	324	143	187	123	12	16	5	20	0	9
107	40623	Waldburg                      	1073	896	35	861	225	327	85	138	50	6	10	4	5	0	11
108	40624	Wartberg ob der Aist          	3217	2618	106	2512	915	550	271	428	236	23	35	16	13	1	24
109	40625	Weitersfelden                 	878	735	17	718	175	332	49	86	55	1	2	8	4	1	5
110	40626	Windhaag bei Freistadt        	1298	1059	60	999	248	432	63	160	72	5	2	3	7	0	7
111	40627	Bad Zell                      	2168	1813	71	1742	341	622	204	333	181	16	15	12	11	1	6
112	40699	Wahlkarten Freistadt                     	0	2388	56	2332	578	805	365	284	151	22	61	13	24	1	28
113	40700	Bezirk Gmunden                       	78599	63533	1943	61590	20933	14346	6283	10395	6187	702	848	519	662	26	689
114	40701	Altmünster                    	7733	5922	208	5714	1744	1480	645	897	624	79	79	32	68	0	66
115	40702	Bad Goisern                   	6024	4465	147	4318	1925	554	298	630	595	42	46	63	106	4	55
116	40703	Bad Ischl                     	11043	7649	214	7435	2379	1599	838	1350	829	92	121	95	55	3	74
117	40704	Ebensee                       	6592	4987	162	4825	2164	823	453	686	446	59	55	49	29	1	60
118	40705	Gmunden                       	10267	7336	187	7149	1926	1987	950	1162	725	72	130	42	63	4	88
119	40706	Gosau                         	1553	1154	33	1121	545	212	50	160	96	11	7	6	17	0	17
120	40707	Grünau im Almtal              	1665	1316	45	1271	427	352	110	240	81	13	10	7	13	1	17
121	40708	Gschwandt                     	1980	1542	70	1472	409	400	136	274	164	16	13	3	35	1	21
122	40709	Hallstatt                     	718	572	24	548	303	80	43	39	37	1	17	13	5	1	9
123	40710	Kirchham                      	1513	1153	46	1107	209	460	78	220	94	9	8	6	11	0	12
124	40711	Laakirchen                    	6983	5382	159	5223	2183	938	397	1014	464	56	50	40	34	1	46
125	40712	Obertraun                     	586	475	17	458	246	73	26	49	35	4	2	13	3	0	7
126	40713	Ohlsdorf                      	3810	2965	110	2855	935	673	281	548	265	20	32	17	44	1	39
127	40714	Pinsdorf                      	2820	2194	70	2124	823	386	177	433	205	29	22	14	10	0	25
128	40715	Roitham                       	1589	1267	53	1214	347	342	87	289	89	12	16	15	12	0	5
129	40716	St.Konrad                     	845	674	18	656	165	247	52	96	58	9	5	5	10	0	9
130	40717	St.Wolfgang im Salzkammergut  	2158	1523	45	1478	411	466	104	247	178	9	24	15	6	0	18
131	40718	Traunkirchen                  	1381	1021	24	997	286	269	126	156	100	20	14	6	7	0	13
132	40719	Scharnstein                   	3657	2789	88	2701	902	641	244	518	273	35	27	19	25	0	17
133	40720	Vorchdorf                     	5682	4477	140	4337	1368	1016	407	891	436	61	36	30	55	6	31
134	40799	Wahlkarten Gmunden                       	0	4670	83	4587	1236	1348	781	496	393	53	134	29	54	3	60
135	40800	Bezirk Grieskirchen                  	49199	40610	1533	39077	9351	13400	3299	7785	3475	328	328	180	502	11	418
136	40801	Aistersheim                   	646	517	23	494	112	204	27	101	38	3	4	3	1	0	1
137	40802	Bad Schallerbach              	2683	2006	52	1954	614	505	169	400	183	17	26	10	15	1	14
138	40803	Bruck-Waasen                  	1854	1425	68	1357	257	587	89	221	156	9	9	5	11	0	13
139	40804	Eschenau im Hausruckkreis     	899	725	33	692	99	299	38	155	64	11	2	6	3	0	15
140	40805	Gallspach                     	1868	1389	20	1369	399	301	104	363	116	9	11	5	46	1	14
141	40806	Gaspoltshofen                 	2840	2069	117	1952	473	585	223	460	144	11	15	12	14	0	15
142	40807	Geboltskirchen                	1104	839	44	795	233	266	65	131	69	0	5	5	18	0	3
143	40808	Grieskirchen                  	3650	2852	89	2763	737	814	267	555	251	15	32	6	62	0	24
144	40809	Haag am Hausruck              	1606	1248	45	1203	336	356	112	237	101	8	11	7	25	0	10
145	40810	Heiligenberg                  	541	450	26	424	29	235	35	81	28	4	1	1	8	0	2
146	40811	Hofkirchen an der Trattnach   	1169	917	41	876	192	295	53	207	76	9	8	4	17	0	15
147	40812	Kallham                       	2064	1637	70	1567	408	520	109	307	163	12	8	9	15	0	16
148	40813	Kematen am Innbach            	1022	758	18	740	180	196	48	213	76	6	3	8	6	0	4
149	40814	Meggenhofen                   	1015	807	44	763	123	343	68	148	55	11	4	1	6	0	4
150	40815	Michaelnbach                  	1026	774	29	745	132	360	35	113	76	4	4	4	7	0	10
151	40816	Natternbach                   	1909	1500	62	1438	350	484	84	331	112	33	4	8	6	4	22
152	40817	Neukirchen am Walde           	1309	1066	43	1023	196	440	60	182	110	10	1	6	8	0	10
153	40818	Neumarkt im Hausruckkreis     	1156	845	24	821	289	185	54	201	60	5	10	5	7	0	5
154	40819	Peuerbach                     	1755	1304	55	1249	263	419	126	237	154	11	8	6	13	0	12
155	40820	Pötting                       	442	375	19	356	59	200	19	43	22	3	3	0	3	0	4
156	40821	Pollham                       	733	603	26	577	96	220	74	103	51	3	6	1	13	0	10
157	40822	Pram                          	1436	1060	33	1027	231	325	92	240	83	9	8	10	17	1	11
158	40823	Rottenbach                    	831	667	40	627	145	183	30	154	78	6	10	2	12	0	7
159	40824	St.Agatha                     	1728	1380	65	1315	241	599	69	227	130	14	7	3	8	0	17
160	40825	St.Georgen bei Grieskirchen   	883	699	32	667	162	230	57	116	66	9	5	2	10	0	10
161	40826	St.Thomas                     	361	292	9	283	29	121	25	59	31	10	1	2	3	0	2
162	40827	Schlüßlberg                   	2369	1911	53	1858	633	414	127	416	190	9	16	2	25	1	25
163	40828	Steegen                       	861	626	34	592	131	264	43	83	44	9	3	3	10	0	2
164	40829	Taufkirchen an der Trattnach  	1650	1240	50	1190	259	385	67	314	116	7	4	7	17	1	13
165	40830	Tollet                        	684	569	12	557	144	199	59	79	37	5	9	4	14	0	7
166	40831	Waizenkirchen                 	2915	2300	73	2227	482	902	226	310	194	18	18	10	27	1	39
167	40832	Wallern an der Trattnach      	2329	1837	46	1791	596	455	168	389	129	11	16	3	13	0	11
168	40833	Weibern                       	1241	940	44	896	185	359	78	142	83	8	10	6	14	0	11
169	40834	Wendling                      	620	500	26	474	62	218	30	109	38	2	2	7	2	0	4
170	40899	Wahlkarten Grieskirchen                  	0	2483	68	2415	474	932	369	358	151	17	44	7	26	1	36
