	GKZ	Gebietsname	Wahlberechtigte	Abgegebene	Ungültige	Gültige	SPÖ	ÖVP	FPÖ	BZÖ	GRÜNE	FRANK	NEOS	PIRAT	KPÖ	CPÖ	WANDL
1	40000	Land Oberösterreich	1099182	861015	21615	839400	228293	212843	180041	29700	102003	40379	28604	6757	6277	2946	1557
2	40099	Wahlkarten Oberösterreich	0	38	38	0	0	0	0	0	0	0	0	0	0	0	0
3	4A000	Wahlkreis Linz und Umgebung	246452	184582	3574	181008	59874	30807	36909	5407	27136	8490	8107	1561	2013	384	320
4	4A099	Wahlkarten Linz und Umgebung	0	1225	20	1205	216	266	134	41	347	46	108	22	20	2	3
5	4B000	Wahlkreis Innviertel	166320	125787	3379	122408	26429	37107	31077	5291	11312	5784	3161	858	639	461	289
6	4B099	Wahlkarten Innviertel	0	377	6	371	41	78	53	17	121	15	33	7	4	1	1
7	4C000	Wahlkreis Hausruckviertel	270686	213976	5394	208582	53584	52181	50470	7346	24013	10168	6722	1739	1261	746	352
8	4C099	Wahlkarten Hausruckviertel	0	700	16	684	93	159	81	34	206	15	67	15	12	0	2
9	4D000	Wahlkreis Traunviertel	197859	155837	3856	151981	44797	34894	30988	6101	18391	8100	5351	1226	1197	647	289
10	4D099	Wahlkarten Traunviertel	0	625	5	620	88	119	73	27	186	31	67	14	12	1	2
11	4E000	Wahlkreis Mühlviertel	217865	180795	5374	175421	43609	57854	30597	5555	21151	7837	5263	1373	1167	708	307
12	4E099	Wahlkarten Mühlviertel	0	659	9	650	96	139	88	12	205	29	51	15	13	0	2
13	40100	Stadt Linz	140809	100357	1895	98462	33229	14959	19092	2755	16826	4191	4705	920	1405	202	178
14	40101	Linz	140809	87131	1671	85460	29562	12349	17409	2463	13674	3702	3986	792	1216	167	140
15	40199	Wahlkarten Linz	0	13226	224	13002	3667	2610	1683	292	3152	489	719	128	189	35	38
16	40200	Stadt Steyr                         	28386	20630	387	20243	7764	2501	4382	653	2609	1152	735	152	205	54	36
17	40201	Steyr             	28386	18660	345	18315	7125	2107	4144	611	2198	1068	649	147	190	51	25
18	40299	Wahlkarten Steyr                         	0	1970	42	1928	639	394	238	42	411	84	86	5	15	3	11
19	40300	Stadt Wels                          	40671	29490	451	29039	9434	4171	7857	963	3651	1330	1066	221	230	68	48
20	40301	Wels	40671	26608	411	26197	8613	3625	7365	894	3048	1199	942	201	206	62	42
21	40399	Wahlkarten Wels                          	0	2882	40	2842	821	546	492	69	603	131	124	20	24	6	6
22	40400	Bezirk Braunau am Inn                	75446	54847	1555	53292	12739	15262	13426	1891	5053	2651	1365	369	277	181	78
23	40401	Altheim                       	3806	2642	82	2560	732	595	751	93	187	115	60	11	9	6	1
24	40402	Aspach                        	1966	1366	44	1322	203	549	321	48	91	64	24	10	3	7	2
25	40403	Auerbach                      	403	315	11	304	17	137	103	7	20	9	3	3	0	5	0
26	40404	Braunau am Inn                	12066	7021	143	6878	2270	1098	1802	269	810	309	194	51	49	16	10
27	40405	Burgkirchen                   	2026	1371	39	1332	239	494	319	54	121	59	30	10	4	0	2
28	40406	Eggelsberg                    	1756	1147	42	1105	190	327	325	34	101	61	42	12	7	4	2
29	40407	Feldkirchen bei Mattighofen   	1546	1037	45	992	128	340	314	32	83	53	17	12	5	6	2
30	40408	Franking                      	715	450	15	435	78	165	104	19	29	19	17	1	2	1	0
31	40409	Geretsberg                    	848	530	17	513	80	202	123	13	47	23	15	7	0	1	2
32	40410	Gilgenberg am Weilhart        	1006	666	16	650	70	269	164	20	49	50	16	5	5	0	2
33	40411	Haigermoos                    	464	319	8	311	56	130	65	11	29	11	8	1	0	0	0
34	40412	Handenberg                    	1048	725	16	709	103	289	190	26	37	28	17	4	4	11	0
35	40413	Helpfau-Uttendorf             	2387	1588	51	1537	337	467	403	58	97	101	46	11	6	6	5
36	40414	Hochburg-Ach                  	2198	1344	31	1313	237	496	271	40	128	74	45	8	4	9	1
